"TPLName","Family","New.Genus","New.Species"
"Anaphalis flavescens","Compositae","Anaphalis","flavescens"
"Acaena pinnatifida","Rosaceae","Acaena","pinnatifida"
"Achillea atrata","Compositae","Achillea","atrata"
"Achillea clavennae","Compositae","Achillea","clavennae"
"Achillea erba-rotta","Compositae","Achillea","erba-rotta"
"Achillea nana","Compositae","Achillea","nana"
"Stipa splendens","Poaceae","Stipa","splendens"
"Aciphylla glacialis","Apiaceae","Aciphylla","glacialis"
"Aciphylla simplicifolia","Apiaceae","Aciphylla","simplicifolia"
"Aconitum brunneum","Ranunculaceae","Aconitum","brunneum"
"Aconitum bucovinense","Ranunculaceae","Aconitum","bucovinense"
"Aconitum lasiocarpum","Ranunculaceae","Aconitum","lasiocarpum"
"Aconitum lycoctonum","Ranunculaceae","Aconitum","lycoctonum"
"Aconitum tanguticum","Ranunculaceae","Aconitum","tanguticum"
"Acronema chinense","Apiaceae","Acronema","chinense"
"Adenophora himalayana","Campanulaceae","Adenophora","himalayana"
"Adenophora liliifolioides","Campanulaceae","Adenophora","liliifolioides"
"Adenostyles alliariae","Compositae","Adenostyles","alliariae"
"Adesmia emarginata","Leguminosae","Adesmia","emarginata"
"Adesmia longipes","Leguminosae","Adesmia","longipes"
"Adesmia radicifolia","Leguminosae","Adesmia","radicifolia"
"Agrostis alpina","Poaceae","Agrostis","alpina"
"Ajania fruticulosa","Compositae","Ajania","fruticulosa"
"Ajania salicifolia","Compositae","Ajania","salicifolia"
"Ajania tenuifolia","Compositae","Ajania","tenuifolia"
"Alchemilla alpina","Rosaceae","Alchemilla","alpina"
"Aletris glandulifera","Nartheciaceae","Aletris","glandulifera"
"Allium chrysanthum","Amaryllidaceae","Allium","chrysanthum"
"Allium chrysocephalum","Amaryllidaceae","Allium","chrysocephalum"
"Allium cyaneum","Amaryllidaceae","Allium","cyaneum"
"Allium cyathophorum","Amaryllidaceae","Allium","cyathophorum"
"Allium prattii","Amaryllidaceae","Allium","prattii"
"Allium przewalskianum","Amaryllidaceae","Allium","przewalskianum"
"Allium rude","Amaryllidaceae","Allium","rude"
"Allium sikkimense","Amaryllidaceae","Allium","sikkimense"
"Allium victorialis","Amaryllidaceae","Allium","victorialis"
"Alstroemeria pallida","Alstroemeriaceae","Alstroemeria","pallida"
"Anaphalis latialata","Compositae","Anaphalis","latialata"
"Anaphalis nepalensis","Compositae","Anaphalis","nepalensis"
"Anarthrophyllum cumingii","Leguminosae","Anarthrophyllum","cumingii"
"Anarthrophyllum gayanum","Leguminosae","Anarthrophyllum","gayanum"
"Androsace villosa","Primulaceae","Androsace","villosa"
"Androsace chamaejasme","Primulaceae","Androsace","chamaejasme"
"Androsace gmelinii","Primulaceae","Androsace","gmelinii"
"Androsace obtusifolia","Primulaceae","Androsace","obtusifolia"
"Anemone alpina","Ranunculaceae","Anemone","alpina"
"Anemone narcissiflora","Ranunculaceae","Anemone","narcissiflora"
"Anemone rivularis","Ranunculaceae","Anemone","rivularis"
"Anthyllis vulneraria","Leguminosae","Anthyllis","vulneraria"
"Anisodus tanguticus","Solanaceae","Anisodus","tanguticus"
"Antennaria dioica","Compositae","Antennaria","dioica"
"Anthoxanthum odoratum","Poaceae","Anthoxanthum","odoratum"
"Anthriscus sylvestris","Apiaceae","Anthriscus","sylvestris"
"Arabis alpina","Brassicaceae","Arabis","alpina"
"Arabis caerulea","Brassicaceae","Arabis","caerulea"
"Catolobus pendulus","Brassicaceae","Catolobus","pendulus"
"Arenaria biflora","Caryophyllaceae","Arenaria","biflora"
"Arenaria edgeworthiana","Caryophyllaceae","Arenaria","edgeworthiana"
"Arenaria erinacea","Caryophyllaceae","Arenaria","erinacea"
"Arenaria grandiflora","Caryophyllaceae","Arenaria","grandiflora"
"Arenaria kansuensis","Caryophyllaceae","Arenaria","kansuensis"
"Eremogone lychnidea","Caryophyllaceae","Eremogone","lychnidea"
"Arenaria norvegica","Caryophyllaceae","Arenaria","norvegica"
"Arenaria purpurascens","Caryophyllaceae","Arenaria","purpurascens"
"Aristida triseta","Poaceae","Aristida","triseta"
"Armeria alpina","Plumbaginaceae","Armeria","alpina"
"Armeria cantabrica","Plumbaginaceae","Armeria","cantabrica"
"Arnica montana","Compositae","Arnica","montana"
"Artemisia desertorum","Compositae","Artemisia","desertorum"
"Artemisia umbelliformis","Compositae","Artemisia","umbelliformis"
"Artemisia genipi","Compositae","Artemisia","genipi"
"Artemisia glacialis","Compositae","Artemisia","glacialis"
"Artemisia gmelinii","Compositae","Artemisia","gmelinii"
"Artemisia hedinii","Compositae","Artemisia","hedinii"
"Asperugo procumbens","Boraginaceae","Asperugo","procumbens"
"Astelia alpina","Asteliaceae","Astelia","alpina"
"Astelia psychrocharis","Asteliaceae","Astelia","psychrocharis"
"Aster alpinus","Compositae","Aster","alpinus"
"Aster diplostephioides","Compositae","Aster","diplostephioides"
"Aster amellus","Compositae","Aster","amellus"
"Aster souliei","Compositae","Aster","souliei"
"Aster yunnanensis","Compositae","Aster","yunnanensis"
"Astragalus australis","Leguminosae","Astragalus","australis"
"Astragalus cyri","Leguminosae","Astragalus","cyri"
"Astragalus floridus","Leguminosae","Astragalus","floridus"
"Astragalus mahoschanicus","Leguminosae","Astragalus","mahoschanicus"
"Astragalus penduliflorus","Leguminosae","Astragalus","penduliflorus"
"Astragalus polycladus","Leguminosae","Astragalus","polycladus"
"Astragalus przewalskii","Leguminosae","Astragalus","przewalskii"
"Astragalus tongolensis","Leguminosae","Astragalus","tongolensis"
"Aubrieta thessala","Brassicaceae","Aubrieta","thessala"
"Agropyron velutinum","Poaceae","Agropyron","velutinum"
"Rytidosperma alpicola","Poaceae","Rytidosperma","alpicola"
"Avena fatua","Poaceae","Avena","fatua"
"Helictotrichon marginatum","Poaceae","Helictotrichon","marginatum"
"Azorella madreporica","Apiaceae","Azorella","madreporica"
"Baeckea gunniana","Myrtaceae","Baeckea","gunniana"
"Baeckea utilis","Myrtaceae","Baeckea","utilis"
"Bartsia alpina","Orobanchaceae","Bartsia","alpina"
"Batrachium bungei","Ranunculaceae","Batrachium","bungei"
"Berberis montana","Berberidaceae","Berberis","montana"
"Betula nana","Betulaceae","Betula","nana"
"Biebersteinia orphanidis","Biebersteiniaceae","Biebersteinia","orphanidis"
"Biscutella laevigata","Brassicaceae","Biscutella","laevigata"
"Kobresia macrantha","Cyperaceae","Kobresia","macrantha"
"Blysmus sinocompressus","Cyperaceae","Blysmus","sinocompressus"
"Brachyscome barkerae","Compositae","Brachyscome","barkerae"
"Brachyscome obovata","Compositae","Brachyscome","obovata"
"Brachyscome rigidula","Compositae","Brachyscome","rigidula"
"Brachyscome spathulata","Compositae","Brachyscome","spathulata"
"Brachyscome stolonifera","Compositae","Brachyscome","stolonifera"
"Braya rosea","Brassicaceae","Braya","rosea"
"Bromus sinensis","Poaceae","Bromus","sinensis"
"Bupleurum commelynoideum","Apiaceae","Bupleurum","commelynoideum"
"Calandrinia caespitosa","Portulacaceae","Calandrinia","caespitosa"
"Calceolaria filicaulis","Calceolariaceae","Calceolaria","filicaulis"
"Calceolaria purpurea","Calceolariaceae","Calceolaria","purpurea"
"Callitriche palustris","Plantaginaceae","Callitriche","palustris"
"Campanula alpina","Campanulaceae","Campanula","alpina"
"Campanula aristata","Campanulaceae","Campanula","aristata"
"Campanula barbata","Campanulaceae","Campanula","barbata"
"Campanula cenisia","Campanulaceae","Campanula","cenisia"
"Campanula cochleariifolia","Campanulaceae","Campanula","cochleariifolia"
"Campanula collina","Campanulaceae","Campanula","collina"
"Campanula jacquinii","Campanulaceae","Campanula","jacquinii"
"Campanula latifolia","Campanulaceae","Campanula","latifolia"
"Campanula macrorhiza","Campanulaceae","Campanula","macrorhiza"
"Campanula scheuchzeri","Campanulaceae","Campanula","scheuchzeri"
"Campanula thyrsoides","Campanulaceae","Campanula","thyrsoides"
"Caragana erinacea","Leguminosae","Caragana","erinacea"
"Caragana jubata","Leguminosae","Caragana","jubata"
"Cardamine cordata","Brassicaceae","Cardamine","cordata"
"Cardamine robusta","Brassicaceae","Cardamine","robusta"
"Cardamine tangutorum","Brassicaceae","Cardamine","tangutorum"
"Carex aphylla","Cyperaceae","Carex","aphylla"
"Carex asturica","Cyperaceae","Carex","asturica"
"Carex atrata","Cyperaceae","Carex","atrata"
"Carex banksii","Cyperaceae","Carex","banksii"
"Carex bicolor","Cyperaceae","Carex","bicolor"
"Carex blakei","Cyperaceae","Carex","blakei"
"Carex buxbaumii","Cyperaceae","Carex","buxbaumii"
"Carex capillacea","Cyperaceae","Carex","capillacea"
"Carex capillaris","Cyperaceae","Carex","capillaris"
"Carex cephalotes","Cyperaceae","Carex","cephalotes"
"Carex curvula","Cyperaceae","Carex","curvula"
"Carex echinata","Cyperaceae","Carex","echinata"
"Carex enervis","Cyperaceae","Carex","enervis"
"Carex firma","Cyperaceae","Carex","firma"
"Carex foetida","Cyperaceae","Carex","foetida"
"Carex gaudichaudiana","Cyperaceae","Carex","gaudichaudiana"
"Carex hebes","Cyperaceae","Carex","hebes"
"Carex hypandra","Cyperaceae","Carex","hypandra"
"Carex kansuensis","Cyperaceae","Carex","kansuensis"
"Carex lachenalii","Cyperaceae","Carex","lachenalii"
"Carex microglochin","Cyperaceae","Carex","microglochin"
"Carex przewalskii","Cyperaceae","Carex","przewalskii"
"Carex pulicaris","Cyperaceae","Carex","pulicaris"
"Carex rariflora","Cyperaceae","Carex","rariflora"
"Carex rostrata","Cyperaceae","Carex","rostrata"
"Carex saxatilis","Cyperaceae","Carex","saxatilis"
"Carex scabrirostris","Cyperaceae","Carex","scabrirostris"
"Carex sempervirens","Cyperaceae","Carex","sempervirens"
"Carpha nivicola","Cyperaceae","Carpha","nivicola"
"Carum carvi","Apiaceae","Carum","carvi"
"Celmisia costiniana","Compositae","Celmisia","costiniana"
"Celmisia pugioniformis","Compositae","Celmisia","pugioniformis"
"Centaurea nervosa","Compositae","Centaurea","nervosa"
"Cirsium arvense","Compositae","Cirsium","arvense"
"Cerastium alpinum","Caryophyllaceae","Cerastium","alpinum"
"Cerastium arcticum","Caryophyllaceae","Cerastium","arcticum"
"Cerastium arvense","Caryophyllaceae","Cerastium","arvense"
"Cerastium cerastoides","Caryophyllaceae","Cerastium","cerastoides"
"Cerastium latifolium","Caryophyllaceae","Cerastium","latifolium"
"Cerastium pedunculatum","Caryophyllaceae","Cerastium","pedunculatum"
"Cerastium uniflorum","Caryophyllaceae","Cerastium","uniflorum"
"Chaetanthera euphrasioides","Compositae","Chaetanthera","euphrasioides"
"Chaetanthera microphylla","Compositae","Chaetanthera","microphylla"
"Epilobium angustifolium","Onagraceae","Epilobium","angustifolium"
"Chamaesium paradoxum","Apiaceae","Chamaesium","paradoxum"
"Gentianella muelleriana","Gentianaceae","Gentianella","muelleriana"
"Chrysosplenium uniflorum","Saxifragaceae","Chrysosplenium","uniflorum"
"Circaeaster agrestis","Circaeasteraceae","Circaeaster","agrestis"
"Cirsium lanatum","Compositae","Cirsium","lanatum"
"Cirsium souliei","Compositae","Cirsium","souliei"
"Cirsium spinosissimum","Compositae","Cirsium","spinosissimum"
"Clematis tangutica","Ranunculaceae","Clematis","tangutica"
"Cochlearia tatrae","Brassicaceae","Cochlearia","tatrae"
"Codonopsis foetens","Campanulaceae","Codonopsis","foetens"
"Colobanthus affinis","Caryophyllaceae","Colobanthus","affinis"
"Coluria longifolia","Rosaceae","Coluria","longifolia"
"Comarum palustre","Rosaceae","Comarum","palustre"
"Comastoma falcatum","Gentianaceae","Comastoma","falcatum"
"Comastoma pedunculatum","Gentianaceae","Comastoma","pedunculatum"
"Comastoma pulmonarium","Gentianaceae","Comastoma","pulmonarium"
"Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis"
"Cortaderia pilosa","Poaceae","Cortaderia","pilosa"
"Corydalis melanochlora","Papaveraceae","Corydalis","melanochlora"
"Craspedia alba","Compositae","Craspedia","alba"
"Craspedia costiniana","Compositae","Craspedia","costiniana"
"Craspedia jamesii","Compositae","Craspedia","jamesii"
"Craspedia lamicola","Compositae","Craspedia","lamicola"
"Craspedia leucantha","Compositae","Craspedia","leucantha"
"Cremanthodium brunneopilosum","Compositae","Cremanthodium","brunneopilosum"
"Cremanthodium discoideum","Compositae","Cremanthodium","discoideum"
"Cremanthodium lineare","Compositae","Cremanthodium","lineare"
"Cyananthus hookeri","Campanulaceae","Cyananthus","hookeri"
"Delphinium albocoeruleum","Ranunculaceae","Delphinium","albocoeruleum"
"Delphinium pylzowii","Ranunculaceae","Delphinium","pylzowii"
"Delphinium souliei","Ranunculaceae","Delphinium","souliei"
"Deschampsia cespitosa","Poaceae","Deschampsia","cespitosa"
"Deyeuxia flavens","Poaceae","Deyeuxia","flavens"
"Dianthus barbatus","Caryophyllaceae","Dianthus","barbatus"
"Dianthus glacialis","Caryophyllaceae","Dianthus","glacialis"
"Dianthus orientalis","Caryophyllaceae","Dianthus","orientalis"
"Dichosciadium ranunculaceum","Apiaceae","Dichosciadium","ranunculaceum"
"Dicranostigma lactucoides","Papaveraceae","Dicranostigma","lactucoides"
"Diplaspis nivis","Apiaceae","Diplaspis","nivis"
"Doronicum austriacum","Compositae","Doronicum","austriacum"
"Draba eriopoda","Brassicaceae","Draba","eriopoda"
"Draba gilliesii","Brassicaceae","Draba","gilliesii"
"Draba hoppeana","Brassicaceae","Draba","hoppeana"
"Draba ladyginii","Brassicaceae","Draba","ladyginii"
"Draba lanceolata","Brassicaceae","Draba","lanceolata"
"Draba nemorosa","Brassicaceae","Draba","nemorosa"
"Draba norvegica","Brassicaceae","Draba","norvegica"
"Draba oreades","Brassicaceae","Draba","oreades"
"Draba stylaris","Brassicaceae","Draba","stylaris"
"Dracocephalum heterophyllum","Lamiaceae","Dracocephalum","heterophyllum"
"Dracocephalum tanguticum","Lamiaceae","Dracocephalum","tanguticum"
"Drosera arcturi","Droseraceae","Drosera","arcturi"
"Dryas octopetala","Rosaceae","Dryas","octopetala"
"Duthiea brachypodium","Poaceae","Duthiea","brachypodium"
"Eleocharis quinqueflora","Cyperaceae","Eleocharis","quinqueflora"
"Elymus caninus","Poaceae","Elymus","caninus"
"Elymus sibiricus","Poaceae","Elymus","sibiricus"
"Epacris celata","Ericaceae","Epacris","celata"
"Epacris glacialis","Ericaceae","Epacris","glacialis"
"Epacris microphylla","Ericaceae","Epacris","microphylla"
"Epacris paludosa","Ericaceae","Epacris","paludosa"
"Epacris petrophila","Ericaceae","Epacris","petrophila"
"Epilobium alsinifolium","Onagraceae","Epilobium","alsinifolium"
"Epilobium gunnianum","Onagraceae","Epilobium","gunnianum"
"Epilobium palustre","Onagraceae","Epilobium","palustre"
"Erigeron bellidioides","Compositae","Erigeron","bellidioides"
"Erigeron cinereus","Compositae","Erigeron","cinereus"
"Erigeron pulchellus","Compositae","Erigeron","pulchellus"
"Erigeron paludicola","Compositae","Erigeron","paludicola"
"Erigeron setosus","Compositae","Erigeron","setosus"
"Eriophorum angustifolium","Cyperaceae","Eriophorum","angustifolium"
"Eriophorum latifolium","Cyperaceae","Eriophorum","latifolium"
"Eriophorum scheuchzeri","Cyperaceae","Eriophorum","scheuchzeri"
"Erysimum hungaricum","Brassicaceae","Erysimum","hungaricum"
"Escallonia alpina","Escalloniaceae","Escallonia","alpina"
"Euphorbia tibetica","Euphorbiaceae","Euphorbia","tibetica"
"Euphrasia collina","Orobanchaceae","Euphrasia","collina"
"Festuca alpina","Poaceae","Festuca","alpina"
"Festuca eskia","Poaceae","Festuca","eskia"
"Festuca halleri","Poaceae","Festuca","halleri"
"Festuca rubra","Poaceae","Festuca","rubra"
"Festuca scabriculmis","Poaceae","Festuca","scabriculmis"
"Festuca violacea","Poaceae","Festuca","violacea"
"Festuca nitidula","Poaceae","Festuca","nitidula"
"Festuca norica","Poaceae","Festuca","norica"
"Festuca ovina","Poaceae","Festuca","ovina"
"Festuca paniculata","Poaceae","Festuca","paniculata"
"Festuca quadriflora","Poaceae","Festuca","quadriflora"
"Festuca sinensis","Poaceae","Festuca","sinensis"
"Festuca varia","Poaceae","Festuca","varia"
"Fritillaria legionensis","Liliaceae","Fritillaria","legionensis"
"Fritillaria unibracteata","Liliaceae","Fritillaria","unibracteata"
"Galium boreale","Rubiaceae","Galium","boreale"
"Galium montis-arerae","Rubiaceae","Galium","montis-arerae"
"Gaultheria poeppigii","Ericaceae","Gaultheria","poeppigii"
"Gaultheria pumila","Ericaceae","Gaultheria","pumila"
"Gentiana acaulis","Gentianaceae","Gentiana","acaulis"
"Gentiana aquatica","Gentianaceae","Gentiana","aquatica"
"Gentiana aristata","Gentianaceae","Gentiana","aristata"
"Gentiana brachyphylla","Gentianaceae","Gentiana","brachyphylla"
"Gentiana burseri","Gentianaceae","Gentiana","burseri"
"Gentiana choanantha","Gentianaceae","Gentiana","choanantha"
"Gentiana clusii","Gentianaceae","Gentiana","clusii"
"Gentiana crassuloides","Gentianaceae","Gentiana","crassuloides"
"Gentiana dahurica","Gentianaceae","Gentiana","dahurica"
"Gentiana leucomelaena","Gentianaceae","Gentiana","leucomelaena"
"Gentiana nivalis","Gentianaceae","Gentiana","nivalis"
"Gentiana nubigena","Gentianaceae","Gentiana","nubigena"
"Gentiana prostrata","Gentianaceae","Gentiana","prostrata"
"Gentiana punctata","Gentianaceae","Gentiana","punctata"
"Gentiana sino-ornata","Gentianaceae","Gentiana","sino-ornata"
"Gentiana siphonantha","Gentianaceae","Gentiana","siphonantha"
"Gentiana straminea","Gentianaceae","Gentiana","straminea"
"Gentiana szechenyii","Gentianaceae","Gentiana","szechenyii"
"Comastoma tenellum","Gentianaceae","Comastoma","tenellum"
"Gentiana verna","Gentianaceae","Gentiana","verna"
"Gentianella amarella","Gentianaceae","Gentianella","amarella"
"Gentianella anisodonta","Gentianaceae","Gentianella","anisodonta"
"Gentianopsis barbata","Gentianaceae","Gentianopsis","barbata"
"Gentianopsis paludosa","Gentianaceae","Gentianopsis","paludosa"
"Geranium pylzowianum","Geraniaceae","Geranium","pylzowianum"
"Geum montanum","Rosaceae","Geum","montanum"
"Geum pyrenaicum","Rosaceae","Geum","pyrenaicum"
"Geum rivale","Rosaceae","Geum","rivale"
"Gingidia algens","Apiaceae","Gingidia","algens"
"Gnaphalium supinum","Compositae","Gnaphalium","supinum"
"Smelowskia tibetica","Brassicaceae","Smelowskia","tibetica"
"Hedysarum caucasicum","Leguminosae","Hedysarum","caucasicum"
"Hedysarum sikkimense","Leguminosae","Hedysarum","sikkimense"
"Helictochloa versicolor","Poaceae","Helictochloa","versicolor"
"Helictotrichon tibeticum","Poaceae","Helictotrichon","tibeticum"
"Helictotrichon versicolor","Poaceae","Helictotrichon","versicolor"
"Heracleum millefolium","Apiaceae","Heracleum","millefolium"
"Heracleum yungningense","Apiaceae","Heracleum","yungningense"
"Heteropappus gouldii","Compositae","Heteropappus","gouldii"
"Hippuris vulgaris","Plantaginaceae","Hippuris","vulgaris"
"Homogyne alpina","Compositae","Homogyne","alpina"
"Hypochaeris tenuifolia","Compositae","Hypochaeris","tenuifolia"
"Isolepis crassiuscula","Cyperaceae","Isolepis","crassiuscula"
"Isolepis setacea","Cyperaceae","Isolepis","setacea"
"Jasione cavanillesii","Campanulaceae","Jasione","cavanillesii"
"Juncus allioides","Juncaceae","Juncus","allioides"
"Juncus amplifolius","Juncaceae","Juncus","amplifolius"
"Juncus balticus","Juncaceae","Juncus","balticus"
"Juncus falcatus","Juncaceae","Juncus","falcatus"
"Juncus filiformis","Juncaceae","Juncus","filiformis"
"Juncus himalensis","Juncaceae","Juncus","himalensis"
"Juncus monanthos","Juncaceae","Juncus","monanthos"
"Juncus sphacelatus","Juncaceae","Juncus","sphacelatus"
"Juncus thomsonii","Juncaceae","Juncus","thomsonii"
"Juncus trifidus","Juncaceae","Juncus","trifidus"
"Juncus triglumis","Juncaceae","Juncus","triglumis"
"Jurinea humilis","Compositae","Jurinea","humilis"
"Kelleria dieffenbachii","Thymelaeaceae","Kelleria","dieffenbachii"
"Kobresia myosuroides","Cyperaceae","Kobresia","myosuroides"
"Kobresia capillifolia","Cyperaceae","Kobresia","capillifolia"
"Kobresia humilis","Cyperaceae","Kobresia","humilis"
