;CD_REF;X0;genus.species;Region;Genus_species;Niche;Altmin;Altmax;Treeline;genus;species;CD_TAXSUP;NOM_VALIDE;Tax_RefCourtname;Tax_RefLongname;RANG;HYBRIDE;INDIG_PACA;INDIG_LR;TAX_Genus;TAX_Species;TAX_Subspecies;Tax_Nomsubspieces;genus.speciesC;P1;genus.speciesL;P2;P3;altmin;altmax;altmean;altsd;altnobs;strict
63;108987;75;Myosotis.alpestris;Southern Alps;Myosotis alpestris;Strict;1390;3250;1880;Myosotis;alpestris;195001;Myosotis alpestris F.W.Schmidt, 1794;Myosotis alpestris;Myosotis alpestris ;ES;0;I;I;Myosotis;alpestris;NA;alpestris;Myosotis.alpestris;P;Myosotis.alpestris;P;P;551;3117;2207;365;5649;FALSE
64;109366;76;Nardus.stricta;Southern Alps;Nardus stricta;Strict;1390;3250;1880;Nardus;stricta;195069;Nardus stricta L., 1753;Nardus stricta;Nardus stricta ;ES;0;I;I;Nardus;stricta;NA;stricta;Nardus.stricta;P;Nardus.stricta;P;P;165;3346;2203;283;8068;FALSE
65;111960;77;Oxyria.digyna;Southern Alps;Oxyria digyna;Strict;1880;3250;1880;Oxyria;digyna;195627;Oxyria digyna (L.) Hill, 1768;Oxyria digyna;Oxyria digyna ;ES;0;I;I;Oxyria;digyna;NA;digyna;Oxyria.digyna;P;Oxyria.digyna;P;P;1039;3346;2526;314;995;TRUE
66;112276;79;Papaver.alpinum;Southern Alps;Papaver alpinum;Strict;1390;3250;1880;Papaver;alpinum;195739;Papaver alpinum L., 1753;Papaver alpinum;Papaver alpinum ;ES;0;I;I;Papaver;alpinum;NA;alpinum;Papaver.alpinum;P;Papaver.alpinum;P;P;NA;NA;NA;NA;NA;NA
67;112602;81;Pedicularis.tuberosa;Southern Alps;Pedicularis tuberosa;Strict;1390;3250;1880;Pedicularis;tuberosa;195895;Pedicularis tuberosa L., 1753;Pedicularis tuberosa;Pedicularis tuberosa ;ES;0;I;;Pedicularis;tuberosa;NA;tuberosa;Pedicularis.tuberosa;P;Pedicularis.tuberosa;P;P;979;2908;2144;283;589;FALSE
68;113175;82;Phleum.alpinum;Southern Alps;Phleum alpinum;Strict;1390;3250;1880;Phleum;alpinum;196129;Phleum alpinum L., 1753 (s. str.);Phleum alpinum;Phleum alpinum ;ES;0;I;I;Phleum;alpinum;NA;alpinum;Phleum.alpinum;P;Phleum.alpinum;P;P;1584;2698;2243;220;126;FALSE
69;113381;83;Phyteuma.hemisphaericum;Southern Alps;Phyteuma hemisphaericum;Strict;1390;3250;1880;Phyteuma;hemisphaericum;196249;Phyteuma hemisphaericum L., 1753;Phyteuma hemisphaericum;Phyteuma hemisphaericum ;ES;0;I;I;Phyteuma;hemisphaericum;NA;hemisphaericum;Phyteuma.hemisphaericum;P;Phyteuma.hemisphaericum;P;P;989;3144;2396;291;641;TRUE
70;113525;85;Pilosella.officinarum;Southern Alps;Pilosella officinarum;Generalist;0;3250;1880;Pilosella;officinarum;715557;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862;Pilosella officinarum;Pilosella officinarum ;ES;0;I;I;Pilosella;officinarum;NA;officinarum;Pilosella.officinarum;P;Pilosella.officinarum;P;P;-8;2899;1057;667;8121;FALSE
71;113624;86;Pinguicula.leptoceras;Southern Alps;Pinguicula leptoceras;Strict;1390;3250;1880;Pinguicula;leptoceras;196288;Pinguicula leptoceras Rchb., 1823;Pinguicula leptoceras;Pinguicula leptoceras ;ES;0;I;;Pinguicula;leptoceras;NA;leptoceras;Pinguicula.leptoceras;P;Pinguicula.leptoceras;P;P;2115;2438;2278;169;4;TRUE
72;114105;89;Poa.alpina;Southern Alps;Poa alpina;Strict;1390;3250;1880;Poa;alpina;196467;Poa alpina L., 1753;Poa alpina;Poa alpina ;ES;0;I;I;Poa;alpina;NA;alpina;Poa.alpina;P;Poa.alpina;P;P;706;3531;2224;371;7748;FALSE
73;114523;90;Polygala.alpina;Southern Alps;Polygala alpina;Strict;1390;3250;1880;Polygala;alpina;196529;Polygala alpina (DC.) Steud., 1821;Polygala alpina;Polygala alpina ;ES;0;I;I;Polygala;alpina;NA;alpina;Polygala.alpina;P;Polygala.alpina;P;P;448;2801;2081;347;555;FALSE
74;115414;91;Potentilla.aurea;Southern Alps;Potentilla aurea;Strict;1390;3250;1880;Potentilla;aurea;196618;Potentilla aurea L., 1756;Potentilla aurea;Potentilla aurea ;ES;0;I;I;Potentilla;aurea;NA;aurea;Potentilla.aurea;P;Potentilla.aurea;P;P;735;2932;2303;270;1553;TRUE
75;115837;92;Primula.auricula;Southern Alps;Primula auricula;Strict;1390;3250;1880;Primula;auricula;196635;Primula auricula L., 1753;Primula auricula;Primula auricula ;ES;0;I;;Primula;auricula;NA;auricula;Primula.auricula;P;Primula.auricula;P;P;1450;2063;1809;127;33;FALSE
76;115868;93;Primula.farinosa;Southern Alps;Primula farinosa;Generalist;1050;3250;1880;Primula;farinosa;196635;Primula farinosa L., 1753;Primula farinosa;Primula farinosa ;ES;0;I;;Primula;farinosa;NA;farinosa;Primula.farinosa;P;Primula.farinosa;P;P;729;2988;2035;394;2261;FALSE
77;115883;95;Primula.integrifolia;Southern Alps;Primula integrifolia;Strict;1880;3250;1880;Primula;integrifolia;196635;Primula integrifolia L., 1753;Primula integrifolia;Primula integrifolia ;ES;0;;I;Primula;integrifolia;NA;integrifolia;Primula.integrifolia;P;Primula.integrifolia;P;P;NA;NA;NA;NA;NA;NA
78;117125;96;Ranunculus.montanus;Southern Alps;Ranunculus montanus;Generalist;1050;3250;1880;Ranunculus;montanus;NA;Ranunculus montanus Willd., 1799;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;117601;97;Rhinanthus.glacialis;Southern Alps;Rhinanthus glacialis;Strict;1390;3250;1880;Rhinanthus;glacialis;197131;Rhinanthus glacialis Personnat, 1863;Rhinanthus glacialis;Rhinanthus glacialis ;ES;0;I;;Rhinanthus;glacialis;NA;glacialis;Rhinanthus.glacialis;P;Rhinanthus.glacialis;P;P;1589;2422;1955;219;75;FALSE
80;117679;98;Rhododendron.ferrugineum;Southern Alps;Rhododendron ferrugineum;Strict;1390;3250;1880;Rhododendron;ferrugineum;197174;Rhododendron ferrugineum L., 1753;Rhododendron ferrugineum;Rhododendron ferrugineum ;ES;0;I;I;Rhododendron;ferrugineum;NA;ferrugineum;Rhododendron.ferrugineum;P;Rhododendron.ferrugineum;P;P;735;3002;2043;296;7737;FALSE
81;120819;99;Saponaria.lutea;Southern Alps;Saponaria lutea;Strict;1390;3250;1880;Saponaria;lutea;NA;Saponaria lutea L., 1762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;120965;100;Saxifraga.aizoides;Southern Alps;Saxifraga aizoides;Generalist;1050;3250;1880;Saxifraga;aizoides;197402;Saxifraga aizoides L., 1753;Saxifraga aizoides;Saxifraga aizoides ;ES;0;I;I;Saxifraga;aizoides;NA;aizoides;Saxifraga.aizoides;P;Saxifraga.aizoides;P;P;444;3057;2127;412;3053;FALSE
83;120988;101;Saxifraga.bryoides;Southern Alps;Saxifraga bryoides;Strict;1880;3250;1880;Saxifraga;bryoides;197402;Saxifraga bryoides L., 1753;Saxifraga bryoides;Saxifraga bryoides ;ES;0;I;I;Saxifraga;bryoides;NA;bryoides;Saxifraga.bryoides;P;Saxifraga.bryoides;P;P;928;3346;2516;314;1306;TRUE
84;120994;102;Saxifraga.caesia;Southern Alps;Saxifraga caesia;Strict;1390;3250;1880;Saxifraga;caesia;197402;Saxifraga caesia L., 1753;Saxifraga caesia;Saxifraga caesia ;ES;0;I;I;Saxifraga;caesia;NA;caesia;Saxifraga.caesia;P;Saxifraga.caesia;P;P;697;3200;2308;293;595;TRUE
85;121047;103;Saxifraga.exarata;Southern Alps;Saxifraga exarata;Strict;1390;3250;1880;Saxifraga;exarata;197402;Saxifraga exarata Vill., 1779;Saxifraga exarata;Saxifraga exarata ;ES;0;I;;Saxifraga;exarata;NA;exarata;Saxifraga.exarata;P;Saxifraga.exarata;P;P;551;3346;2306;389;2574;TRUE
86;121132;105;Saxifraga.oppositifolia;Southern Alps;Saxifraga oppositifolia;Strict;1880;3250;1880;Saxifraga;oppositifolia;197402;Saxifraga oppositifolia L., 1753;Saxifraga oppositifolia;Saxifraga oppositifolia ;ES;0;I;I;Saxifraga;oppositifolia;NA;oppositifolia;Saxifraga.oppositifolia;P;Saxifraga.oppositifolia;P;P;551;4072;2376;410;3910;TRUE
87;121139;106;Saxifraga.paniculata;Southern Alps;Saxifraga paniculata;Strict;1390;3250;1880;Saxifraga;paniculata;197402;Saxifraga paniculata Mill., 1768;Saxifraga paniculata;Saxifraga paniculata ;ES;0;I;I;Saxifraga;paniculata;NA;paniculata;Saxifraga.paniculata;P;Saxifraga.paniculata;P;P;186;3817;2016;477;4881;FALSE
88;122593;109;Senecio.doronicum;Southern Alps;Senecio doronicum;Generalist;1050;3250;1880;Senecio;doronicum;197585;Senecio doronicum (L.) L., 1759;Senecio doronicum;Senecio doronicum ;ES;0;I;I;Senecio;doronicum;NA;doronicum;Senecio.doronicum;P;Senecio.doronicum;P;P;723;2987;1967;312;317;FALSE
89;123071;110;Sesleria.caerulea;Southern Alps;Sesleria caerulea;Generalist;1050;3250;1880;Sesleria;caerulea;197620;Sesleria caerulea (L.) Ard., 1763;Sesleria caerulea;Sesleria caerulea ;ES;0;I;I;Sesleria;caerulea;NA;caerulea;Sesleria.caerulea;P;Sesleria.caerulea;P;P;1;3050;1738;605;11670;FALSE
90;123084;111;Sesleria.sphaerocephala;Southern Alps;Sesleria sphaerocephala;Strict;1390;3250;1880;Sesleria;sphaerocephala;NA;Sesleria sphaerocephala Ard., 1763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;123176;112;Sibbaldia.procumbens;Southern Alps;Sibbaldia procumbens;Strict;1880;3250;1880;Sibbaldia;procumbens;197632;Sibbaldia procumbens L., 1753;Sibbaldia procumbens;Sibbaldia procumbens ;ES;0;I;I;Sibbaldia;procumbens;NA;procumbens;Sibbaldia.procumbens;P;Sibbaldia.procumbens;P;P;928;3346;2499;234;1267;TRUE
92;123374;113;Silene.acaulis;Southern Alps;Silene acaulis;Strict;1880;3250;1880;Silene;acaulis;197652;Silene acaulis (L.) Jacq., 1762;Silene acaulis;Silene acaulis ;ES;0;I;I;Silene;acaulis;NA;acaulis;Silene.acaulis;P;Silene.acaulis;P;P;607;3346;2400;318;2173;TRUE
93;123669;115;Silene.vallesia;Southern Alps;Silene vallesia;Strict;1390;3250;1880;Silene;vallesia;197652;Silene vallesia L., 1759;Silene vallesia;Silene vallesia ;ES;0;I;;Silene;vallesia;NA;vallesia;Silene.vallesia;P;Silene.vallesia;P;P;979;2759;1763;300;252;FALSE
94;123683;116;Silene.vulgaris;Southern Alps;Silene vulgaris;Generalist;1050;3250;1880;Silene;vulgaris;197652;Silene vulgaris (Moench) Garcke, 1869;Silene vulgaris;Silene vulgaris ;ES;0;I;I;Silene;vulgaris;NA;vulgaris;Silene.vulgaris;P;Silene.vulgaris;P;P;1;2732;1329;596;4062;FALSE
95;124139;117;Soldanella.alpina;Southern Alps;Soldanella alpina;Strict;1390;3250;1880;Soldanella;alpina;197733;Soldanella alpina L., 1753;Soldanella alpina;Soldanella alpina ;ES;0;I;I;Soldanella;alpina;NA;alpina;Soldanella.alpina;P;Soldanella.alpina;P;P;670;3739;2211;282;3789;FALSE
96;124205;118;Solidago.virgaurea;Southern Alps;Solidago virgaurea;Generalist;0;3250;1880;Solidago;virgaurea;197745;Solidago virgaurea L., 1753;Solidago virgaurea;Solidago virgaurea ;ES;0;I;I;Solidago;virgaurea;NA;virgaurea;Solidago.virgaurea;P;Solidago.virgaurea;P;P;1;2783;827;652;2224;FALSE
97;125493;119;Taraxacum.alpinum;Southern Alps;Taraxacum alpinum;Strict;1390;3250;1880;Taraxacum;alpinum;198226;Taraxacum alpinum (Hoppe) Hegetschw., 1839;Taraxacum alpinum;Taraxacum alpinum ;ES;0;I;;Taraxacum;alpinum;NA;alpinum;Taraxacum.alpinum;P;Taraxacum.alpinum;P;P;887;2814;2388;336;43;TRUE
98;127237;120;Trifolium.badium;Southern Alps;Trifolium badium;Strict;1390;3250;1880;Trifolium;badium;198631;Trifolium badium Schreb., 1804;Trifolium badium;Trifolium badium ;ES;0;I;I;Trifolium;badium;NA;badium;Trifolium.badium;P;Trifolium.badium;P;P;730;3739;2150;326;2979;FALSE
99;127419;121;Trifolium.pallescens;Southern Alps;Trifolium pallescens;Strict;1390;3250;1880;Trifolium;pallescens;198631;Trifolium pallescens Schreb., 1804;Trifolium pallescens;Trifolium pallescens ;ES;0;I;I;Trifolium;pallescens;NA;pallescens;Trifolium.pallescens;P;Trifolium.pallescens;P;P;883;3152;2199;311;766;FALSE
100;127439;123;Trifolium.pratense;Southern Alps;Trifolium pratense;Generalist;0;3250;1880;Trifolium;pratense;198631;Trifolium pratense L., 1753;Trifolium pratense;Trifolium pratense ;ES;0;I;I;Trifolium;pratense;NA;pratense;Trifolium.pratense;P;Trifolium.pratense;P;P;0;3067;1397;712;9157;FALSE
101;128787;125;Veronica.allionii;Southern Alps;Veronica allionii;Strict;1390;3250;1880;Veronica;allionii;198883;Veronica allionii Vill., 1779;Veronica allionii;Veronica allionii ;ES;0;I;;Veronica;allionii;NA;allionii;Veronica.allionii;P;Veronica.allionii;P;P;862;3152;2271;281;3674;TRUE
102;128789;126;Veronica.alpina;Southern Alps;Veronica alpina;Strict;1390;3250;1880;Veronica;alpina;198883;Veronica alpina L., 1753;Veronica alpina;Veronica alpina ;ES;0;I;I;Veronica;alpina;NA;alpina;Veronica.alpina;P;Veronica.alpina;P;P;915;3739;2496;273;1371;TRUE
103;128797;127;Veronica.aphylla;Southern Alps;Veronica aphylla;Strict;1390;3250;1880;Veronica;aphylla;198883;Veronica aphylla L., 1753;Veronica aphylla;Veronica aphylla ;ES;0;I;I;Veronica;aphylla;NA;aphylla;Veronica.aphylla;P;Veronica.aphylla;P;P;735;3011;2266;322;749;TRUE
104;128810;128;Veronica.bellidioides;Southern Alps;Veronica bellidioides;Strict;1390;3250;1880;Veronica;bellidioides;198883;Veronica bellidioides L., 1753;Veronica bellidioides;Veronica bellidioides ;ES;0;I;I;Veronica;bellidioides;NA;bellidioides;Veronica.bellidioides;P;Veronica.bellidioides;P;P;837;3144;2448;260;932;TRUE
105;128871;129;Veronica.fruticans;Southern Alps;Veronica fruticans;Strict;1390;3250;1880;Veronica;fruticans;198883;Veronica fruticans Jacq., 1762;Veronica fruticans;Veronica fruticans ;ES;0;I;I;Veronica;fruticans;NA;fruticans;Veronica.fruticans;P;Veronica.fruticans;P;P;735;3012;2154;346;1345;FALSE
106;129898;114;Silene.suecica;Southern Alps;Silene suecica;Strict;1880;3250;1880;Silene;suecica;NA;Viscaria alpina (L.) G.Don, 1831;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1482;3144;2335;344;36;TRUE
107;132509;26;Campanula.macrorhiza;Southern Alps;Campanula macrorhiza;Generalist;0;3250;1880;Campanula;macrorhiza;NA;Campanula rotundifolia subsp. macrorhiza (J.Gay ex A.DC.) Bonnier & Layens, 1894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2646;757;445;2299;FALSE
108;152216;124;Trifolium.pratense;Southern Alps;Trifolium pratense;Generalist;0;3250;1880;Trifolium;pratense;141893;Trifolium pratense var. villosum DC., 1805;Trifolium villosum;Trifolium pratense ;VAR;0;I;I;Trifolium;pratense;NA;pratense;Trifolium.villosum;P;Trifolium.pratense;P;P;837;2843;2057;288;755;FALSE
109;152218;122;Trifolium.pratense;Southern Alps;Trifolium pratense;Generalist;0;3250;1880;Trifolium;pratense;141893;Trifolium pratense var. pratense ;Trifolium pratense;Trifolium pratense ;VAR;0;I;I;Trifolium;pratense;NA;pratense;Trifolium.pratense;P;Trifolium.pratense;P;P;-2;2503;869;581;1826;FALSE
110;610642;64;Jacobaea.incana;Southern Alps;Jacobaea incana;Strict;1390;3250;1880;Jacobaea;incana;606920;Jacobaea incana (L.) Veldkamp, 2006;Jacobaea incana;Jacobaea incana ;ES;0;I;;Jacobaea;incana;NA;incana;Jacobaea.incana;P;Jacobaea.incana;P;P;887;3152;2453;260;2268;TRUE
111;611031;68;Leontopodium.nivale;Southern Alps;Leontopodium nivale;Strict;1390;3250;1880;Leontopodium;nivale;193955;Leontopodium nivale (Ten.) Huet ex Hand.-Mazz., 1927;Leontopodium nivale;Leontopodium nivale ;ES;0;I;;Leontopodium;nivale;NA;nivale;Leontopodium.nivale;P;Leontopodium.nivale;P;P;723;2874;2220;270;439;FALSE
112;611577;104;Saxifraga.hostii;Southern Alps;Saxifraga hostii;Generalist;1050;3250;1880;Saxifraga;hostii;NA;Saxifraga hostii Tausch, 1828;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
113;613565;88;Poa.alpina;Southern Alps;Poa alpina;Strict;1390;3250;1880;Poa;alpina;NA;Poa alpina var. vivipara L., 1753;Poa vivipara;Poa alpina ;VAR;0;I;;Poa;alpina;NA;alpina;Poa.vivipara;P;Poa.alpina;P;P;2348;3144;2653;196;54;TRUE
114;613566;87;Poa.alpina;Southern Alps;Poa alpina;Strict;1390;3250;1880;Poa;alpina;NA;Poa alpina var. alpina ;Poa alpina;Poa alpina ;VAR;0;I;;Poa;alpina;NA;alpina;Poa.alpina;P;Poa.alpina;P;P;945;3118;2360;300;1325;TRUE
115;717225;62;Helictochloa.versicolor;Southern Alps;Helictochloa versicolor;Strict;1390;3250;1880;Helictochloa;versicolor;715576;Helictochloa versicolor (Vill.) Romero Zarco, 2011;Helictochloa versicolor;Helictochloa versicolor ;ES;0;I;I;Helictochloa;versicolor;NA;versicolor;Helictochloa.versicolor;P;Helictochloa.versicolor;P;P;NA;NA;NA;NA;2;NA
116;717225;63;Helictotrichon.versicolor;Southern Alps;Helictotrichon versicolor;Strict;1390;3250;1880;Helictotrichon;versicolor;NA;Helictochloa versicolor (Vill.) Romero Zarco, 2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
117;717310;107;Saxifraga.stellaris;Southern Alps;Saxifraga stellaris;Strict;1390;3250;1880;Saxifraga;stellaris;NA;Micranthes stellaris (L.) Galasso, Banfi & Soldano, 2005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
118;718744;78;Papaver.alpinum;Southern Alps;Papaver alpinum;Strict;1390;3250;1880;Papaver;alpinum;138547;Papaver alpinum var. aurantiacum (Loisel.) B.Bock, 2012;Papaver aurantiacum;Papaver alpinum ;VAR;0;I;;Papaver;alpinum;NA;alpinum;Papaver.aurantiacum;P;Papaver.alpinum;P;P;1354;2843;1909;290;274;FALSE
119;718745;80;Papaver.alpinum;Southern Alps;Papaver alpinum;Strict;1390;3250;1880;Papaver;alpinum;138552;Papaver alpinum var. suaveolens ;Papaver suaveolens;Papaver alpinum ;VAR;0;;I;Papaver;alpinum;NA;alpinum;Papaver.suaveolens;P;Papaver.alpinum;P;P;NA;NA;NA;NA;NA;NA
120;NA;40;Dianthus.glacialis;Southern Alps;Dianthus glacialis;Strict;1880;3250;1880;Dianthus;glacialis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
121;NA;108;Scorzoneroides.helvetica;Southern Alps;Scorzoneroides helvetica;Strict;1390;3250;1880;Scorzoneroides;helvetica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
122;NA;48;Festuca.norica;Southern Alps;Festuca norica;Strict;1390;3250;1880;Festuca;norica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
123;NA;2;Achillea.clavennae;Southern Alps;Achillea clavennae;Strict;1390;3250;1880;Achillea;clavennae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
124;NA;130;Viola.comollia;Southern Alps;Viola comollia;Strict;1880;3250;1880;Viola;comollia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
125;NA;59;Gentianella.anisodonta;Southern Alps;Gentianella anisodonta;Strict;1390;3250;1880;Gentianella;anisodonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
126;NA;94;Primula.glaucescens;Southern Alps;Primula glaucescens;Generalist;1050;3250;1880;Primula;glaucescens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
127;NA;71;Linaria.tonzigii;Southern Alps;Linaria tonzigii;Strict;1390;3250;1880;Linaria;tonzigii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
128;NA;84;Phyteuma.sieberi;Southern Alps;Phyteuma sieberi;Strict;1390;3250;1880;Phyteuma;sieberi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
129;NA;42;Draba.stylaris;Southern Alps;Draba stylaris;Strict;1390;3250;1880;Draba;stylaris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
130;NA;52;Galium.montis-arerae;Southern Alps;Galium montis-arerae;Strict;1390;3250;1880;Galium;montis-arerae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA