ID,Days,Germinated,Tmax,Tmin,Light
0.01,60,41,20,5,0
0.01,60,47,20,5,0
0.01,60,44,20,5,0
0.02,60,35,20,5,0
0.02,60,41,20,5,0
0.02,60,40,20,5,0
1.01,60,5,20,5,0
1.01,60,4,20,5,0
1.01,60,2,20,5,0
1.02,60,11,20,5,0
1.02,60,9,20,5,0
1.02,60,11,20,5,0
1.03,60,23,20,5,0
1.03,60,17,20,5,0
1.03,60,20,20,5,0
1.04,60,9,20,5,0
1.04,60,8,20,5,0
1.04,60,3,20,5,0
2.01,60,10,20,5,0
2.01,60,12,20,5,0
2.01,60,17,20,5,0
2.02,60,10,20,5,0
2.02,60,8,20,5,0
2.02,60,8,20,5,0
3.02,60,4,20,5,0
3.02,60,5,20,5,0
3.02,60,2,20,5,0
3.03,60,4,20,5,0
3.03,60,3,20,5,0
3.03,60,5,20,5,0
3.04,60,1,20,5,0
3.04,60,0,20,5,0
3.04,60,4,20,5,0
3.05,60,43,20,5,0
3.05,60,33,20,5,0
3.05,60,35,20,5,0
3.06,60,40,20,5,0
3.06,60,27,20,5,0
3.06,60,34,20,5,0
3.08,60,14,20,5,0
3.08,60,20,20,5,0
3.08,60,20,20,5,0
3.09,60,45,20,5,0
3.09,60,46,20,5,0
3.09,60,38,20,5,0
3.1,60,24,20,5,0
3.1,60,22,20,5,0
3.1,60,19,20,5,0
3.11,60,5,20,5,0
3.11,60,6,20,5,0
3.11,60,12,20,5,0
4.03,60,20,20,5,0
4.03,60,17,20,5,0
4.03,60,13,20,5,0
4.06,60,3,20,5,0
4.06,60,0,20,5,0
4.06,60,2,20,5,0
5.01,60,0,20,5,0
5.01,60,0,20,5,0
5.01,60,0,20,5,0
5.05,60,0,20,5,0
5.05,60,1,20,5,0
5.05,60,0,20,5,0
5.06,60,4,20,5,0
5.06,60,2,20,5,0
5.06,60,1,20,5,0
6.01,60,36,20,5,0
6.01,60,31,20,5,0
6.01,60,29,20,5,0
6.02,60,4,20,5,0
6.02,60,2,20,5,0
6.02,60,1,20,5,0
6.03,60,0,20,5,0
6.03,60,0,20,5,0
6.03,60,0,20,5,0
6.05,60,0,20,5,0
6.05,60,0,20,5,0
6.05,60,0,20,5,0
6.06,60,9,20,5,0
6.06,60,10,20,5,0
6.06,60,13,20,5,0
7.01,60,0,20,5,0
7.01,60,0,20,5,0
7.01,60,0,20,5,0
7.02,60,23,20,5,0
7.02,60,24,20,5,0
7.02,60,29,20,5,0
7.04,60,0,20,5,0
7.04,60,1,20,5,0
7.04,60,0,20,5,0
8.02,60,12,20,5,0
8.02,60,11,20,5,0
8.02,60,12,20,5,0
8.04,60,0,20,5,0
8.04,60,0,20,5,0
8.04,60,0,20,5,0
8.06,60,0,20,5,0
8.06,60,0,20,5,0
8.06,60,0,20,5,0
11.01,60,15,20,5,0
11.01,60,11,20,5,0
11.01,60,10,20,5,0
11.02,60,15,20,5,0
11.02,60,8,20,5,0
11.02,60,8,20,5,0
12.01,60,34,20,5,0
12.01,60,39,20,5,0
12.01,60,36,20,5,0
12.02,60,7,20,5,0
12.02,60,4,20,5,0
12.02,60,4,20,5,0
12.03,60,38,20,5,0
12.03,60,34,20,5,0
12.03,60,37,20,5,0
12.04,60,9,20,5,0
12.04,60,13,20,5,0
12.04,60,10,20,5,0
12.05,60,45,20,5,0
12.05,60,48,20,5,0
12.05,60,47,20,5,0
13.03,60,0,20,5,0
13.03,60,0,20,5,0
13.03,60,0,20,5,0
14.01,60,0,20,5,0
14.01,60,2,20,5,0
14.01,60,2,20,5,0
14.02,60,16,20,5,0
14.02,60,18,20,5,0
14.02,60,21,20,5,0
14.03,60,12,20,5,0
14.03,60,20,20,5,0
14.03,60,20,20,5,0
14.04,60,40,20,5,0
14.04,60,38,20,5,0
14.04,60,33,20,5,0
14.05,60,13,20,5,0
14.05,60,5,20,5,0
14.05,60,10,20,5,0
14.06,60,9,20,5,0
14.06,60,6,20,5,0
14.06,60,6,20,5,0
14.07,60,36,20,5,0
14.07,60,41,20,5,0
14.07,60,34,20,5,0
14.08,60,6,20,5,0
14.08,60,3,20,5,0
14.08,60,6,20,5,0
14.09,60,6,20,5,0
14.09,60,3,20,5,0
14.09,60,1,20,5,0
14.1,60,45,20,5,0
14.1,60,45,20,5,0
14.1,60,46,20,5,0
15.01,60,34,20,5,0
15.01,60,35,20,5,0
15.01,60,43,20,5,0
15.02,60,47,20,5,0
15.02,60,49,20,5,0
15.02,60,49,20,5,0
15.03,60,28,20,5,0
15.03,60,43,20,5,0
15.03,60,38,20,5,0
17.01,60,1,20,5,0
17.01,60,1,20,5,0
17.01,60,0,20,5,0
17.02,60,31,20,5,0
17.02,60,31,20,5,0
17.02,60,27,20,5,0
17.03,60,2,20,5,0
17.03,60,6,20,5,0
17.03,60,2,20,5,0
17.04,60,0,20,5,0
17.04,60,0,20,5,0
17.04,60,0,20,5,0
17.05,60,23,20,5,0
17.05,60,17,20,5,0
17.05,60,20,20,5,0
17.06,60,18,20,5,0
17.06,60,21,20,5,0
17.06,60,21,20,5,0
17.07,60,0,20,5,0
17.07,60,0,20,5,0
17.07,60,0,20,5,0
17.08,60,4,20,5,0
17.08,60,3,20,5,0
17.08,60,4,20,5,0
17.09,60,0,20,5,0
17.09,60,2,20,5,0
17.09,60,1,20,5,0
17.1,60,1,20,5,0
17.1,60,3,20,5,0
17.1,60,1,20,5,0
17.11,60,1,20,5,0
17.11,60,0,20,5,0
17.11,60,0,20,5,0
17.12,60,24,20,5,0
17.12,60,22,20,5,0
17.12,60,24,20,5,0
17.13,60,12,20,5,0
17.13,60,14,20,5,0
17.13,60,7,20,5,0
17.14,60,0,20,5,0
17.14,60,0,20,5,0
17.14,60,0,20,5,0
17.15,60,16,20,5,0
17.15,60,20,20,5,0
17.15,60,18,20,5,0
17.17,60,11,20,5,0
17.17,60,7,20,5,0
17.17,60,10,20,5,0
17.18,60,8,20,5,0
17.18,60,8,20,5,0
17.18,60,4,20,5,0
17.19,60,0,20,5,0
17.19,60,0,20,5,0
17.19,60,0,20,5,0
17.2,60,11,20,5,0
17.2,60,10,20,5,0
17.2,60,5,20,5,0
18.01,60,4,20,5,0
18.01,60,3,20,5,0
18.01,60,3,20,5,0
18.02,60,8,20,5,0
18.02,60,14,20,5,0
18.02,60,13,20,5,0
18.03,60,4,20,5,0
18.03,60,7,20,5,0
18.03,60,6,20,5,0
18.04,60,2,20,5,0
18.04,60,1,20,5,0
18.04,60,1,20,5,0
18.06,60,2,20,5,0
18.06,60,3,20,5,0
18.06,60,1,20,5,0
20.01,60,0,20,5,0
20.01,60,0,20,5,0
20.01,60,0,20,5,0
20.03,60,25,20,5,0
20.03,60,28,20,5,0
20.03,60,22,20,5,0
20.04,60,41,20,5,0
20.04,60,48,20,5,0
20.04,60,46,20,5,0
21.02,60,34,20,5,0
21.02,60,16,20,5,0
21.02,60,27,20,5,0
22.01,60,8,20,5,0
22.01,60,11,20,5,0
22.01,60,14,20,5,0
24.01,60,2,20,5,0
24.01,60,2,20,5,0
24.01,60,3,20,5,0
24.02,60,1,20,5,0
24.02,60,3,20,5,0
24.02,60,0,20,5,0
24.03,60,6,20,5,0
24.03,60,7,20,5,0
24.03,60,1,20,5,0
24.04,60,6,20,5,0
24.04,60,12,20,5,0
24.04,60,12,20,5,0
24.05,60,0,20,5,0
24.05,60,2,20,5,0
24.05,60,1,20,5,0
24.06,60,1,20,5,0
24.06,60,0,20,5,0
24.06,60,2,20,5,0
24.07,60,0,20,5,0
24.07,60,1,20,5,0
24.07,60,3,20,5,0
24.18,60,0,20,5,0
24.18,60,0,20,5,0
24.18,60,0,20,5,0
25.01,60,0,20,5,0
25.01,60,0,20,5,0
25.01,60,0,20,5,0
25.02,60,32,20,5,0
25.02,60,27,20,5,0
25.02,60,32,20,5,0
25.03,60,2,20,5,0
25.03,60,0,20,5,0
25.03,60,0,20,5,0
25.05,60,0,20,5,0
25.05,60,0,20,5,0
25.05,60,0,20,5,0
25.07,60,25,20,5,0
25.07,60,10,20,5,0
25.07,60,16,20,5,0
25.08,60,0,20,5,0
25.08,60,0,20,5,0
25.08,60,0,20,5,0
25.09,60,0,20,5,0
25.09,60,0,20,5,0
25.09,60,0,20,5,0
25.1,60,0,20,5,0
25.1,60,0,20,5,0
25.1,60,0,20,5,0
25.11,60,0,20,5,0
25.11,60,0,20,5,0
25.11,60,0,20,5,0
25.12,60,7,20,5,0
25.12,60,5,20,5,0
25.12,60,4,20,5,0
25.13,60,0,20,5,0
25.13,60,2,20,5,0
25.13,60,0,20,5,0
25.14,60,0,20,5,0
25.14,60,0,20,5,0
25.14,60,0,20,5,0
25.15,60,0,20,5,0
25.15,60,0,20,5,0
25.15,60,0,20,5,0
26.04,60,3,20,5,0
26.04,60,3,20,5,0
26.04,60,1,20,5,0
26.05,60,10,20,5,0
26.05,60,6,20,5,0
26.05,60,3,20,5,0
27.01(?46?),60,16,20,5,0
27.01,60,20,20,5,0
27.01,60,8,20,5,0
27.02,60,14,20,5,0
27.02,60,22,20,5,0
27.02,60,11,20,5,0
27.03,60,39,20,5,0
27.03,60,36,20,5,0
27.03,60,44,20,5,0
27.04,60,47,20,5,0
27.04,60,49,20,5,0
27.04,60,43,20,5,0
27.05,60,45,20,5,0
27.05,60,61,20,5,0
27.05,60,59,20,5,0
27.06,60,41,20,5,0
27.06,60,47,20,5,0
27.06,60,49,20,5,0
27.08,60,41,20,5,0
27.08,60,58,20,5,0
27.08,60,56,20,5,0
27.09,60,51,20,5,0
27.09,60,49,20,5,0
27.09,60,49,20,5,0
27.1,60,43,20,5,0
27.1,60,35,20,5,0
27.1,60,34,20,5,0
27.11,60,53,20,5,0
27.11,60,60,20,5,0
27.11,60,50,20,5,0
27.12,60,0,20,5,0
27.12,60,1,20,5,0
27.12,60,1,20,5,0
27.13,60,32,20,5,0
27.13,60,44,20,5,0
27.13,60,48,20,5,0
27.14,60,31,20,5,0
27.14,60,35,20,5,0
27.14,60,42,20,5,0
27.15,60,10,20,5,0
27.15,60,12,20,5,0
27.15,60,17,20,5,0
27.16,60,41,20,5,0
27.16,60,31,20,5,0
27.16,60,32,20,5,0
27.17,60,0,20,5,0
27.17,60,1,20,5,0
27.17,60,0,20,5,0
27.18,60,38,20,5,0
27.18,60,29,20,5,0
27.18,60,30,20,5,0
27.19,60,36,20,5,0
27.19,60,31,20,5,0
27.19,60,29,20,5,0
27.2,60,0,20,5,0
27.2,60,0,20,5,0
27.2,60,0,20,5,0
27.22,60,39,20,5,0
27.22,60,45,20,5,0
27.22,60,40,20,5,0
29.01,60,0,20,5,0
29.01,60,0,20,5,0
29.01,60,0,20,5,0
29.02,60,57,20,5,0
29.02,60,54,20,5,0
29.02,60,61,20,5,0
29.03,60,1,20,5,0
29.03,60,0,20,5,0
29.03,60,0,20,5,0
29.04,60,4,20,5,0
29.04,60,2,20,5,0
29.04,60,2,20,5,0
29.05,60,3,20,5,0
29.05,60,4,20,5,0
29.05,60,2,20,5,0
29.06,60,36,20,5,0
29.06,60,30,20,5,0
29.06,60,35,20,5,0
29.07,60,0,20,5,0
29.07,60,0,20,5,0
29.07,60,0,20,5,0
29.08,60,5,20,5,0
29.08,60,2,20,5,0
29.08,60,1,20,5,0
29.09,60,31,20,5,0
29.09,60,18,20,5,0
29.09,60,22,20,5,0
29.1,60,9,20,5,0
29.1,60,5,20,5,0
29.1,60,6,20,5,0
29.11,60,15,20,5,0
29.11,60,12,20,5,0
29.11,60,18,20,5,0
29.12,60,37,20,5,0
29.12,60,38,20,5,0
29.12,60,41,20,5,0
29.13,60,1,20,5,0
29.13,60,2,20,5,0
29.13,60,2,20,5,0
29.14,60,12,20,5,0
29.14,60,19,20,5,0
29.14,60,15,20,5,0
29.15,60,40,20,5,0
29.15,60,32,20,5,0
29.15,60,36,20,5,0
29.16,60,13,20,5,0
29.16,60,17,20,5,0
29.16,60,9,20,5,0
29.17,60,0,20,5,0
29.17,60,1,20,5,0
29.17,60,2,20,5,0
29.18,60,0,20,5,0
29.18,60,1,20,5,0
29.18,60,0,20,5,0
29.19,60,29,20,5,0
29.19,60,39,20,5,0
29.19,60,34,20,5,0
29.2,60,5,20,5,0
29.2,60,4,20,5,0
29.2,60,6,20,5,0
29.21,60,37,20,5,0
29.21,60,38,20,5,0
29.21,60,31,20,5,0
29.22,60,1,20,5,0
29.22,60,4,20,5,0
29.22,60,6,20,5,0
29.23,60,0,20,5,0
29.23,60,0,20,5,0
29.23,60,0,20,5,0
29.24,60,1,20,5,0
29.24,60,0,20,5,0
29.24,60,1,20,5,0
29.25,60,18,20,5,0
29.25,60,19,20,5,0
29.25,60,19,20,5,0
29.26,60,0,20,5,0
29.26,60,0,20,5,0
29.26,60,0,20,5,0
29.27,60,0,20,5,0
29.27,60,0,20,5,0
29.27,60,0,20,5,0
29.28,60,2,20,5,0
29.28,60,0,20,5,0
29.28,60,1,20,5,0
29.29,60,0,20,5,0
29.29,60,1,20,5,0
29.29,60,1,20,5,0
29.31,60,9,20,5,0
29.31,60,8,20,5,0
29.31,60,9,20,5,0
29.32,60,1,20,5,0
29.32,60,2,20,5,0
29.32,60,0,20,5,0
29.33,60,0,20,5,0
29.33,60,2,20,5,0
29.33,60,2,20,5,0
29.34,60,0,20,5,0
29.34,60,2,20,5,0
29.34,60,0,20,5,0
31.01,60,6,20,5,0
31.01,60,17,20,5,0
31.01,60,4,20,5,0
31.02,60,8,20,5,0
31.02,60,10,20,5,0
31.02,60,18,20,5,0
31.04,60,0,20,5,0
31.04,60,0,20,5,0
31.04,60,0,20,5,0
31.05,60,25,20,5,0
31.05,60,22,20,5,0
31.05,60,31,20,5,0
31.06,60,0,20,5,0
31.06,60,0,20,5,0
31.06,60,0,20,5,0
37.01,60,14,20,5,0
37.01,60,13,20,5,0
37.01,60,13,20,5,0
37.02,60,11,20,5,0
37.02,60,8,20,5,0
37.02,60,11,20,5,0
38.01,60,19,20,5,0
38.01,60,10,20,5,0
38.01,60,10,20,5,0
38.02,60,0,20,5,0
38.02,60,0,20,5,0
38.02,60,0,20,5,0
38.03,60,8,20,5,0
38.03,60,6,20,5,0
38.03,60,15,20,5,0
44.01,60,0,20,5,0
44.01,60,0,20,5,0
44.01,60,0,20,5,0
46.01,60,9,20,5,0
46.01,60,4,20,5,0
46.01,60,7,20,5,0
19.09,60,2,20,5,0
19.09,60,1,20,5,0
19.09,60,2,20,5,0
31.03,60,0,20,5,0
31.03,60,3,20,5,0
31.03,60,0,20,5,0
1.05,60,38,20,5,0
1.05,60,40,20,5,0
1.05,60,45,20,5,0
1.07,60,0,20,5,0
1.07,60,0,20,5,0
1.07,60,0,20,5,0
1.09,60,8,20,5,0
1.09,60,11,20,5,0
1.09,60,16,20,5,0
1.1,60,39,20,5,0
1.1,60,35,20,5,0
1.1,60,30,20,5,0
1.12,60,16,20,5,0
1.12,60,18,20,5,0
1.12,60,16,20,5,0
1.13,60,1,20,5,0
1.13,60,3,20,5,0
1.13,60,0,20,5,0
3.14,60,14,20,5,0
3.14,60,18,20,5,0
3.14,60,17,20,5,0
3.15,60,31,20,5,0
3.15,60,31,20,5,0
3.15,60,26,20,5,0
6.07,60,19,20,5,0
6.07,60,26,20,5,0
6.07,60,16,20,5,0
6.08,60,13,20,5,0
6.08,60,16,20,5,0
6.08,60,11,20,5,0
6.09,60,18,20,5,0
6.09,60,19,20,5,0
6.09,60,15,20,5,0
6.1,60,32,20,5,0
6.1,60,29,20,5,0
6.1,60,31,20,5,0
6.11,60,25,20,5,0
6.11,60,25,20,5,0
6.11,60,31,20,5,0
6.12,60,12,20,5,0
6.12,60,6,20,5,0
6.12,60,10,20,5,0
6.14,60,44,20,5,0
6.14,60,33,20,5,0
6.14,60,34,20,5,0
6.15,60,0,20,5,0
6.15,60,0,20,5,0
6.15,60,1,20,5,0
6.16,60,1,20,5,0
6.16,60,0,20,5,0
6.16,60,2,20,5,0
6.19,60,8,20,5,0
6.19,60,8,20,5,0
6.19,60,8,20,5,0
6.2,60,22,20,5,0
6.2,60,22,20,5,0
6.2,60,24,20,5,0
6.21,60,47,20,5,0
6.21,60,49,20,5,0
6.21,60,46,20,5,0
6.22,60,0,20,5,0
6.22,60,0,20,5,0
6.22,60,0,20,5,0
6.24,60,42,20,5,0
6.24,60,39,20,5,0
6.24,60,36,20,5,0
11.03,60,1,20,5,0
11.03,60,2,20,5,0
11.03,60,2,20,5,0
15.05,60,48,20,5,0
15.05,60,49,20,5,0
15.05,60,43,20,5,0
15.07,60,0,20,5,0
15.07,60,1,20,5,0
15.07,60,0,20,5,0
15.08,60,1,20,5,0
15.08,60,7,20,5,0
15.08,60,7,20,5,0
17.22,60,2,20,5,0
17.22,60,2,20,5,0
17.22,60,2,20,5,0
17.23,60,0,20,5,0
17.23,60,0,20,5,0
17.23,60,0,20,5,0
17.24,60,42,20,5,0
17.24,60,42,20,5,0
17.24,60,41,20,5,0
17.25,60,7,20,5,0
17.25,60,10,20,5,0
17.25,60,7,20,5,0
17.26,60,0,20,5,0
17.26,60,1,20,5,0
17.26,60,0,20,5,0
17.27,60,0,20,5,0
17.27,60,0,20,5,0
17.27,60,0,20,5,0
17.28,60,3,20,5,0
17.28,60,3,20,5,0
17.28,60,5,20,5,0
19.55,60,7,20,5,0
19.55,60,11,20,5,0
19.55,60,13,20,5,0
19.56,60,0,20,5,0
19.56,60,0,20,5,0
19.56,60,0,20,5,0
19.57,60,0,20,5,0
19.57,60,0,20,5,0
19.57,60,0,20,5,0
20.05,60,3,20,5,0
20.05,60,3,20,5,0
20.05,60,7,20,5,0
21.03,60,46,20,5,0
21.03,60,39,20,5,0
21.03,60,38,20,5,0
21.04,60,38,20,5,0
21.04,60,33,20,5,0
21.04,60,31,20,5,0
21.05,60,6,20,5,0
21.05,60,9,20,5,0
21.05,60,6,20,5,0
21.06,60,2,20,5,0
21.06,60,2,20,5,0
21.06,60,1,20,5,0
21.07,60,3,20,5,0
21.07,60,1,20,5,0
21.07,60,4,20,5,0
21.08,60,3,20,5,0
21.08,60,1,20,5,0
21.08,60,2,20,5,0
25.18,60,3,20,5,0
25.18,60,6,20,5,0
25.18,60,2,20,5,0
25.19,60,0,20,5,0
25.19,60,0,20,5,0
25.19,60,2,20,5,0
25.21,60,0,20,5,0
25.21,60,1,20,5,0
25.21,60,0,20,5,0
27.23,60,20,20,5,0
27.23,60,18,20,5,0
27.23,60,12,20,5,0
27.24,60,1,20,5,0
27.24,60,1,20,5,0
27.24,60,0,20,5,0
27.25,60,14,20,5,0
27.25,60,8,20,5,0
27.25,60,13,20,5,0
27.26,60,20,20,5,0
27.26,60,9,20,5,0
27.26,60,15,20,5,0
27.27,60,23,20,5,0
27.27,60,24,20,5,0
27.27,60,19,20,5,0
39.01,60,50,20,5,0
39.01,60,48,20,5,0
39.01,60,50,20,5,0
39.03,60,33,20,5,0
39.03,60,33,20,5,0
39.03,60,33,20,5,0
39.04,60,37,20,5,0
39.04,60,53,20,5,0
39.04,60,39,20,5,0
51.13,60,1,20,5,0
51.13,60,2,20,5,0
51.13,60,3,20,5,0
51.14,60,4,20,5,0
51.14,60,10,20,5,0
51.14,60,10,20,5,0
51.16,60,0,20,5,0
51.16,60,0,20,5,0
51.16,60,0,20,5,0
51.28,60,0,20,5,0
51.28,60,0,20,5,0
51.28,60,0,20,5,0
51.34,60,39,20,5,0
51.34,60,34,20,5,0
51.34,60,39,20,5,0
9.59,60,1,20,5,0
9.59,60,0,20,5,0
9.59,60,0,20,5,0
9.58,60,7,20,5,0
9.58,60,8,20,5,0
9.58,60,12,20,5,0
51.31,60,1,20,5,0
51.31,60,1,20,5,0
51.31,60,0,20,5,0
19.05,60,30,20,5,0
19.05,60,32,20,5,0
19.05,60,29,20,5,0
1.08,60,43,20,5,0
1.08,60,44,20,5,0
1.08,60,41,20,5,0
1.14,60,38,20,5,0
1.14,60,37,20,5,0
1.14,60,41,20,5,0
1.15,60,47,20,5,0
1.15,60,44,20,5,0
1.15,60,44,20,5,0
2.04,60,31,20,5,0
2.04,60,29,20,5,0
2.04,60,20,20,5,0
3.16,60,52,20,5,0
3.16,60,45,20,5,0
3.16,60,44,20,5,0
4.01,60,0,20,5,0
4.01,60,0,20,5,0
4.01,60,2,20,5,0
4.02,60,11,20,5,0
4.02,60,10,20,5,0
4.02,60,12,20,5,0
4.04,60,0,20,5,0
4.04,60,1,20,5,0
4.04,60,3,20,5,0
4.05,60,0,20,5,0
4.05,60,0,20,5,0
4.05,60,0,20,5,0
4.07,60,20,20,5,0
4.07,60,14,20,5,0
4.07,60,3,20,5,0
6.13,60,0,20,5,0
6.13,60,0,20,5,0
6.13,60,0,20,5,0
6.18,60,0,20,5,0
6.18,60,0,20,5,0
6.18,60,0,20,5,0
6.23,60,0,20,5,0
6.23,60,0,20,5,0
6.23,60,0,20,5,0
6.25,60,0,20,5,0
6.25,60,0,20,5,0
6.25,60,0,20,5,0
6.26,60,9,20,5,0
6.26,60,8,20,5,0
6.26,60,17,20,5,0
8.01,60,8,20,5,0
8.01,60,8,20,5,0
8.01,60,10,20,5,0
8.05,60,1,20,5,0
8.05,60,0,20,5,0
8.05,60,0,20,5,0
8.06,60,0,20,5,0
8.06,60,0,20,5,0
8.06,60,0,20,5,0
8.07,60,17,20,5,0
8.07,60,4,20,5,0
8.07,60,10,20,5,0
8.08,60,0,20,5,0
8.08,60,1,20,5,0
8.08,60,1,20,5,0
9.01,60,8,20,5,0
9.01,60,7,20,5,0
9.01,60,5,20,5,0
9.02,60,47,20,5,0
9.02,60,51,20,5,0
9.02,60,48,20,5,0
9.03,60,11,20,5,0
9.03,60,19,20,5,0
9.03,60,19,20,5,0
9.04,60,4,20,5,0
9.04,60,3,20,5,0
9.04,60,1,20,5,0
9.05,60,3,20,5,0
9.05,60,5,20,5,0
9.05,60,7,20,5,0
9.06,60,3,20,5,0
9.06,60,3,20,5,0
9.06,60,4,20,5,0
9.09,60,19,20,5,0
9.09,60,16,20,5,0
9.09,60,13,20,5,0
9.11,60,5,20,5,0
9.11,60,4,20,5,0
9.11,60,1,20,5,0
9.12,60,9,20,5,0
9.12,60,4,20,5,0
9.12,60,5,20,5,0
9.13,60,6,20,5,0
9.13,60,10,20,5,0
9.13,60,1,20,5,0
9.15,60,0,20,5,0
9.15,60,0,20,5,0
9.15,60,0,20,5,0
9.17,60,3,20,5,0
9.17,60,3,20,5,0
9.17,60,4,20,5,0
9.18,60,3,20,5,0
9.18,60,1,20,5,0
9.18,60,3,20,5,0
9.2,60,2,20,5,0
9.2,60,0,20,5,0
9.2,60,2,20,5,0
9.22,60,17,20,5,0
9.22,60,20,20,5,0
9.22,60,6,20,5,0
9.23,60,7,20,5,0
9.23,60,10,20,5,0
9.23,60,8,20,5,0
9.24,60,7,20,5,0
9.24,60,10,20,5,0
9.24,60,7,20,5,0
9.25,60,22,20,5,0
9.25,60,20,20,5,0
9.25,60,19,20,5,0
9.27,60,2,20,5,0
9.27,60,4,20,5,0
9.27,60,3,20,5,0
9.28,60,4,20,5,0
9.28,60,1,20,5,0
9.28,60,3,20,5,0
9.29,60,0,20,5,0
9.29,60,1,20,5,0
9.29,60,1,20,5,0
9.3,60,1,20,5,0
9.3,60,3,20,5,0
9.3,60,0,20,5,0
9.31,60,18,20,5,0
9.31,60,26,20,5,0
9.31,60,22,20,5,0
9.32,60,34,20,5,0
9.32,60,35,20,5,0
9.32,60,26,20,5,0
9.33,60,14,20,5,0
9.33,60,15,20,5,0
9.33,60,16,20,5,0
9.35,60,6,20,5,0
9.35,60,8,20,5,0
9.35,60,8,20,5,0
9.36,60,5,20,5,0
9.36,60,7,20,5,0
9.36,60,6,20,5,0
9.37,60,6,20,5,0
9.37,60,4,20,5,0
9.37,60,6,20,5,0
9.4,60,7,20,5,0
9.4,60,12,20,5,0
9.4,60,12,20,5,0
9.43,60,5,20,5,0
9.43,60,8,20,5,0
9.43,60,2,20,5,0
9.46,60,3,20,5,0
9.46,60,2,20,5,0
9.46,60,2,20,5,0
9.47,60,0,20,5,0
9.47,60,1,20,5,0
9.47,60,2,20,5,0
9.48,60,31,20,5,0
9.48,60,22,20,5,0
9.48,60,25,20,5,0
9.49,60,16,20,5,0
9.49,60,11,20,5,0
9.49,60,20,20,5,0
9.51,60,7,20,5,0
9.51,60,11,20,5,0
9.51,60,7,20,5,0
9.52,60,6,20,5,0
9.52,60,5,20,5,0
9.52,60,5,20,5,0
9.53,60,19,20,5,0
9.53,60,21,20,5,0
9.53,60,22,20,5,0
9.55,60,21,20,5,0
9.55,60,21,20,5,0
9.55,60,29,20,5,0
9.56,60,4,20,5,0
9.56,60,2,20,5,0
9.56,60,6,20,5,0
9.58,60,28,20,5,0
9.58,60,29,20,5,0
9.58,60,29,20,5,0
9.59,60,15,20,5,0
9.59,60,20,20,5,0
9.59,60,13,20,5,0
9.6,60,2,20,5,0
9.6,60,1,20,5,0
9.6,60,2,20,5,0
9.61,60,1,20,5,0
9.61,60,2,20,5,0
9.61,60,0,20,5,0
9.64,60,5,20,5,0
9.64,60,7,20,5,0
9.64,60,4,20,5,0
9.65,60,8,20,5,0
