ID,Germinated,Days,Tmax,Tmin,Light
1.1,8,40,20,5,12
1.1,14,40,20,5,12
1.1,12,40,20,5,12
1.01,35,40,20,5,12
1.01,41,40,20,5,12
1.01,33,40,20,5,12
1.11,17,40,20,5,12
1.11,28,40,20,5,12
1.11,27,40,20,5,12
1.12,21,40,20,5,12
1.12,19,40,20,5,12
1.12,22,40,20,5,12
1.13,48,40,20,5,12
1.13,47,40,20,5,12
1.13,49,40,20,5,12
1.14,20,40,20,5,12
1.14,12,40,20,5,12
1.14,13,40,20,5,12
1.15,28,40,20,5,12
1.15,31,40,20,5,12
1.15,31,40,20,5,12
1.16,37,40,20,5,12
1.16,39,40,20,5,12
1.16,43,40,20,5,12
1.17,4,40,20,5,12
1.17,1,40,20,5,12
1.17,0,40,20,5,12
1.18,50,40,20,5,12
1.18,50,40,20,5,12
1.18,50,40,20,5,12
1.19,40,40,20,5,12
1.19,48,40,20,5,12
1.19,47,40,20,5,12
1.2,15,40,20,5,12
1.2,12,40,20,5,12
1.2,20,40,20,5,12
1.2,46,40,20,5,12
1.2,48,40,20,5,12
1.2,45,40,20,5,12
1.21,45,40,20,5,12
1.21,45,40,20,5,12
1.21,40,40,20,5,12
1.22,26,40,20,5,12
1.22,32,40,20,5,12
1.22,24,40,20,5,12
1.23,26,40,20,5,12
1.23,14,40,20,5,12
1.23,22,40,20,5,12
1.24,45,40,20,5,12
1.24,46,40,20,5,12
1.24,43,40,20,5,12
1.25,3,40,20,5,12
1.25,3,40,20,5,12
1.25,4,40,20,5,12
1.26,8,40,20,5,12
1.26,11,40,20,5,12
1.26,13,40,20,5,12
1.27,46,40,20,5,12
1.27,47,40,20,5,12
1.27,46,40,20,5,12
1.28,43,40,20,5,12
1.28,45,40,20,5,12
1.28,43,40,20,5,12
1.29,15,40,20,5,12
1.29,12,40,20,5,12
1.29,12,40,20,5,12
1.03,20,40,20,5,12
1.03,15,40,20,5,12
1.03,13,40,20,5,12
1.31,47,40,20,5,12
1.31,47,40,20,5,12
1.31,47,40,20,5,12
1.33,1,40,20,5,12
1.33,1,40,20,5,12
1.33,3,40,20,5,12
1.34,43,40,20,5,12
1.34,38,40,20,5,12
1.34,48,40,20,5,12
1.35,10,40,20,5,12
1.35,9,40,20,5,12
1.39,20,40,20,5,12
1.39,24,40,20,5,12
1.39,24,40,20,5,12
1.4,0,40,20,5,12
1.4,1,40,20,5,12
1.4,0,40,20,5,12
1.04,35,40,20,5,12
1.04,38,40,20,5,12
1.04,35,40,20,5,12
1.44,31,40,20,5,12
1.44,36,40,20,5,12
1.44,38,40,20,5,12
1.45,4,40,20,5,12
1.45,9,40,20,5,12
1.45,8,40,20,5,12
1.47,0,40,20,5,12
1.47,1,40,20,5,12
1.47,0,40,20,5,12
1.48,39,40,20,5,12
1.48,38,40,20,5,12
1.48,40,40,20,5,12
1.49,8,40,20,5,12
1.49,8,40,20,5,12
1.49,3,40,20,5,12
1.05,24,40,20,5,12
1.05,31,40,20,5,12
1.05,24,40,20,5,12
1.5,0,40,20,5,12
1.5,1,40,20,5,12
1.5,2,40,20,5,12
1.51,27,40,20,5,12
1.51,41,40,20,5,12
1.51,38,40,20,5,12
1.52,43,40,20,5,12
1.52,44,40,20,5,12
1.52,38,40,20,5,12
1.53,48,40,20,5,12
1.53,44,40,20,5,12
1.53,42,40,20,5,12
1.55,4,40,20,5,12
1.55,3,40,20,5,12
1.55,6,40,20,5,12
1.56,0,40,20,5,12
1.56,1,40,20,5,12
1.56,0,40,20,5,12
1.57,12,40,20,5,12
1.57,19,40,20,5,12
1.57,14,40,20,5,12
1.58,4,40,20,5,12
1.58,5,40,20,5,12
1.58,3,40,20,5,12
1.59,4,40,20,5,12
1.59,8,40,20,5,12
1.59,6,40,20,5,12
1.62,1,40,20,5,12
1.62,0,40,20,5,12
1.62,3,40,20,5,12
1.63,5,40,20,5,12
1.63,8,40,20,5,12
1.63,6,40,20,5,12
1.65,3,40,20,5,12
1.65,1,40,20,5,12
1.65,3,40,20,5,12
1.69,15,40,20,5,12
1.69,13,40,20,5,12
1.69,16,40,20,5,12
1.07,39,40,20,5,12
1.07,30,40,20,5,12
1.07,35,40,20,5,12
1.7,16,40,20,5,12
1.7,10,40,20,5,12
1.7,8,40,20,5,12
1.72,1,40,20,5,12
1.72,2,40,20,5,12
1.72,0,40,20,5,12
1.74,4,40,20,5,12
1.74,8,40,20,5,12
1.74,3,40,20,5,12
1.76,3,40,20,5,12
1.76,4,40,20,5,12
1.76,2,40,20,5,12
1.08,40,40,20,5,12
1.08,48,40,20,5,12
1.08,48,40,20,5,12
1.8,1,40,20,5,12
1.8,1,40,20,5,12
1.8,3,40,20,5,12
1.82,11,40,20,5,12
1.82,6,40,20,5,12
1.82,8,40,20,5,12
1.86,15,40,20,5,12
1.86,17,40,20,5,12
1.86,12,40,20,5,12
1.87,1,40,20,5,12
1.87,1,40,20,5,12
1.87,2,40,20,5,12
1.88,1,40,20,5,12
1.88,2,40,20,5,12
1.88,5,40,20,5,12
1.89,33,40,20,5,12
1.89,29,40,20,5,12
1.89,30,40,20,5,12
1.09,18,40,20,5,12
1.09,31,40,20,5,12
1.09,22,40,20,5,12
6.1,49,40,20,5,12
6.1,48,40,20,5,12
6.1,49,40,20,5,12
6.01,37,40,20,5,12
6.01,30,40,20,5,12
6.01,27,40,20,5,12
6.11,37,40,20,5,12
6.11,39,40,20,5,12
6.11,38,40,20,5,12
6.12,48,40,20,5,12
6.12,50,40,20,5,12
6.12,43,40,20,5,12
6.13,32,40,20,5,12
6.13,28,40,20,5,12
6.13,31,40,20,5,12
6.14,39,40,20,5,12
6.14,34,40,20,5,12
6.14,39,40,20,5,12
6.15,48,40,20,5,12
6.15,49,40,20,5,12
6.15,48,40,20,5,12
6.16,8,40,20,5,12
6.16,8,40,20,5,12
6.16,6,40,20,5,12
6.17,29,40,20,5,12
6.17,29,40,20,5,12
6.17,32,40,20,5,12
6.18,1,40,20,5,12
6.18,0,40,20,5,12
6.18,3,40,20,5,12
6.19,20,40,20,5,12
6.19,25,40,20,5,12
6.19,21,40,20,5,12
6.02,23,40,20,5,12
6.02,30,40,20,5,12
6.02,28,40,20,5,12
6.2,4,40,20,5,12
6.2,6,40,20,5,12
6.2,3,40,20,5,12
6.21,13,40,20,5,12
6.21,16,40,20,5,12
6.21,3,40,20,5,12
6.22,17,40,20,5,12
6.22,17,40,20,5,12
6.22,16,40,20,5,12
6.25,43,40,20,5,12
6.25,46,40,20,5,12
6.25,47,40,20,5,12
6.26,5,40,20,5,12
6.26,15,40,20,5,12
6.26,11,40,20,5,12
6.27,22,40,20,5,12
6.27,19,40,20,5,12
6.27,13,40,20,5,12
6.29,1,40,20,5,12
6.29,1,40,20,5,12
6.29,2,40,20,5,12
6.3,49,40,20,5,12
6.3,44,40,20,5,12
6.3,40,40,20,5,12
6.03,47,40,20,5,12
6.03,43,40,20,5,12
6.03,44,40,20,5,12
6.31,1,40,20,5,12
6.31,0,40,20,5,12
6.31,0,40,20,5,12
6.04,7,40,20,5,12
6.04,10,40,20,5,12
6.04,12,40,20,5,12
6.05,3,40,20,5,12
6.05,13,40,20,5,12
6.05,10,40,20,5,12
6.06,8,40,20,5,12
6.06,9,40,20,5,12
6.06,10,40,20,5,12
6.07,17,40,20,5,12
6.07,15,40,20,5,12
6.07,17,40,20,5,12
6.08,8,40,20,5,12
6.08,14,40,20,5,12
6.08,13,40,20,5,12
6.09,1,40,20,5,12
6.09,0,40,20,5,12
6.09,0,40,20,5,12
8.01,42,40,20,5,12
8.01,31,40,20,5,12
8.01,39,40,20,5,12
8.02,41,40,20,5,12
8.02,48,40,20,5,12
8.02,47,40,20,5,12
8.03,42,40,20,5,12
8.03,46,40,20,5,12
8.03,45,40,20,5,12
8.04,20,40,20,5,12
8.04,16,40,20,5,12
8.04,17,40,20,5,12
8.05,33,40,20,5,12
8.05,38,40,20,5,12
8.05,29,40,20,5,12
9.01,2,40,20,5,12
9.01,1,40,20,5,12
9.01,1,40,20,5,12
9.1,2,40,20,5,12
9.1,11,40,20,5,12
9.1,9,40,20,5,12
9.11,11,40,20,5,12
9.11,7,40,20,5,12
9.11,10,40,20,5,12
9.12,12,40,20,5,12
9.12,11,40,20,5,12
9.12,6,40,20,5,12
9.13,9,40,20,5,12
9.13,17,40,20,5,12
9.13,17,40,20,5,12
9.14,5,40,20,5,12
9.14,7,40,20,5,12
9.14,2,40,20,5,12
9.15,18,40,20,5,12
9.15,26,40,20,5,12
9.15,22,40,20,5,12
9.17,0,40,20,5,12
9.17,1,40,20,5,12
9.17,0,40,20,5,12
9.18,6,40,20,5,12
9.18,7,40,20,5,12
9.18,7,40,20,5,12
9.19,9,40,20,5,12
9.19,5,40,20,5,12
9.19,4,40,20,5,12
9.2,45,40,20,5,12
9.2,47,40,20,5,12
9.2,49,40,20,5,12
9.02,42,40,20,5,12
9.02,44,40,20,5,12
9.02,43,40,20,5,12
9.21,6,40,20,5,12
9.21,7,40,20,5,12
9.21,6,40,20,5,12
9.03,3,40,20,5,12
9.03,3,40,20,5,12
9.03,3,40,20,5,12
9.04,0,40,20,5,12
9.04,0,40,20,5,12
9.04,1,40,20,5,12
9.05,2,40,20,5,12
9.05,0,40,20,5,12
9.05,2,40,20,5,12
9.06,18,40,20,5,12
9.06,18,40,20,5,12
9.06,21,40,20,5,12
9.07,39,40,20,5,12
9.07,37,40,20,5,12
9.07,34,40,20,5,12
9.08,14,40,20,5,12
9.08,12,40,20,5,12
9.08,18,40,20,5,12
9.09,10,40,20,5,12
9.09,7,40,20,5,12
9.09,9,40,20,5,12
10.1,13,40,20,5,12
10.1,8,40,20,5,12
10.1,6,40,20,5,12
10.01,35,40,20,5,12
10.01,37,40,20,5,12
10.01,21,40,20,5,12
10.11,44,40,20,5,12
10.11,45,40,20,5,12
10.11,42,40,20,5,12
10.12,42,40,20,5,12
10.12,43,40,20,5,12
10.12,42,40,20,5,12
10.13,48,40,20,5,12
10.13,45,40,20,5,12
10.13,42,40,20,5,12
10.14,43,40,20,5,12
10.14,39,40,20,5,12
10.14,42,40,20,5,12
10.15,48,40,20,5,12
10.15,46,40,20,5,12
10.15,48,40,20,5,12
10.16,50,40,20,5,12
10.16,48,40,20,5,12
10.16,47,40,20,5,12
10.17,10,40,20,5,12
10.17,13,40,20,5,12
10.17,18,40,20,5,12
10.18,47,40,20,5,12
10.18,46,40,20,5,12
10.18,47,40,20,5,12
10.19,46,40,20,5,12
10.19,45,40,20,5,12
10.19,47,40,20,5,12
10.2,44,40,20,5,12
10.2,40,40,20,5,12
10.2,39,40,20,5,12
10.02,43,40,20,5,12
10.02,50,40,20,5,12
10.02,47,40,20,5,12
10.21,41,40,20,5,12
10.21,43,40,20,5,12
10.21,34,40,20,5,12
10.22,48,40,20,5,12
10.22,50,40,20,5,12
10.22,48,40,20,5,12
10.23,51,40,20,5,12
10.23,49,40,20,5,12
10.23,50,40,20,5,12
10.24,41,40,20,5,12
10.24,45,40,20,5,12
10.24,35,40,20,5,12
10.25,44,40,20,5,12
10.25,40,40,20,5,12
10.25,45,40,20,5,12
10.27,47,40,20,5,12
10.27,47,40,20,5,12
10.27,50,40,20,5,12
10.28,17,40,20,5,12
10.28,16,40,20,5,12
10.28,34,40,20,5,12
10.29,45,40,20,5,12
10.29,44,40,20,5,12
10.29,42,40,20,5,12
10.3,40,40,20,5,12
10.3,41,40,20,5,12
10.3,49,40,20,5,12
10.03,45,40,20,5,12
10.03,45,40,20,5,12
10.03,43,40,20,5,12
10.31,42,40,20,5,12
10.31,43,40,20,5,12
10.31,45,40,20,5,12
10.32,21,40,20,5,12
10.32,23,40,20,5,12
10.32,20,40,20,5,12
10.33,11,40,20,5,12
10.33,17,40,20,5,12
10.33,17,40,20,5,12
10.34,19,40,20,5,12
10.34,10,40,20,5,12
10.34,10,40,20,5,12
10.35,39,40,20,5,12
10.35,39,40,20,5,12
10.35,44,40,20,5,12
10.36,36,40,20,5,12
10.36,32,40,20,5,12
10.36,28,40,20,5,12
10.37,39,40,20,5,12
10.37,37,40,20,5,12
10.37,46,40,20,5,12
10.38,24,40,20,5,12
10.38,21,40,20,5,12
10.38,25,40,20,5,12
10.39,41,40,20,5,12
10.39,40,40,20,5,12
10.39,38,40,20,5,12
10.4,21,40,20,5,12
10.4,25,40,20,5,12
10.4,20,40,20,5,12
10.04,19,40,20,5,12
10.04,21,40,20,5,12
10.04,18,40,20,5,12
10.41,49,40,20,5,12
10.41,47,40,20,5,12
10.41,46,40,20,5,12
10.42,48,40,20,5,12
10.42,50,40,20,5,12
10.42,48,40,20,5,12
10.43,29,40,20,5,12
10.43,41,40,20,5,12
10.43,28,40,20,5,12
10.44,50,40,20,5,12
10.44,50,40,20,5,12
10.44,49,40,20,5,12
10.45,34,40,20,5,12
10.45,38,40,20,5,12
10.45,30,40,20,5,12
10.46,46,40,20,5,12
10.46,41,40,20,5,12
10.46,43,40,20,5,12
10.47,43,40,20,5,12
10.47,38,40,20,5,12
10.47,40,40,20,5,12
10.48,48,40,20,5,12
10.48,48,40,20,5,12
10.48,49,40,20,5,12
10.49,24,40,20,5,12
10.49,31,40,20,5,12
10.49,37,40,20,5,12
10.5,44,40,20,5,12
10.5,46,40,20,5,12
10.5,48,40,20,5,12
10.05,44,40,20,5,12
10.05,47,40,20,5,12
10.05,49,40,20,5,12
10.51,32,40,20,5,12
10.51,41,40,20,5,12
10.51,43,40,20,5,12
10.52,45,40,20,5,12
10.52,48,40,20,5,12
10.52,45,40,20,5,12
10.53,33,40,20,5,12
10.53,42,40,20,5,12
10.53,35,40,20,5,12
10.07,28,40,20,5,12
10.07,31,40,20,5,12
10.07,32,40,20,5,12
10.08,42,40,20,5,12
10.08,43,40,20,5,12
10.08,40,40,20,5,12
10.09,38,40,20,5,12
10.09,38,40,20,5,12
11.01,4,40,20,5,12
11.01,2,40,20,5,12
11.01,6,40,20,5,12
11.02,6,40,20,5,12
11.02,7,40,20,5,12
11.02,6,40,20,5,12
11.03,5,40,20,5,12
11.03,3,40,20,5,12
11.03,3,40,20,5,12
13.01,45,40,20,5,12
13.01,47,40,20,5,12
13.01,50,40,20,5,12
13.1,20,40,20,5,12
13.1,21,40,20,5,12
13.1,25,40,20,5,12
13.11,49,40,20,5,12
13.11,50,40,20,5,12
13.11,45,40,20,5,12
13.12,33,40,20,5,12
13.12,22,40,20,5,12
13.12,21,40,20,5,12
13.14,1,40,20,5,12
13.14,2,40,20,5,12
13.14,2,40,20,5,12
13.15,28,40,20,5,12
13.15,33,40,20,5,12
13.15,30,40,20,5,12
13.16,37,40,20,5,12
13.16,42,40,20,5,12
13.16,35,40,20,5,12
13.17,9,40,20,5,12
13.17,5,40,20,5,12
13.17,5,40,20,5,12
13.18,9,40,20,5,12
13.18,4,40,20,5,12
13.18,5,40,20,5,12
13.19,4,40,20,5,12
13.19,3,40,20,5,12
13.19,4,40,20,5,12
13.02,29,40,20,5,12
13.02,34,40,20,5,12
13.02,30,40,20,5,12
13.2,46,40,20,5,12
13.2,48,40,20,5,12
13.2,47,40,20,5,12
13.21,39,40,20,5,12
13.21,38,40,20,5,12
13.21,45,40,20,5,12
13.22,37,40,20,5,12
13.22,41,40,20,5,12
13.22,39,40,20,5,12
13.23,35,40,20,5,12
13.23,39,40,20,5,12
13.23,38,40,20,5,12
13.24,49,40,20,5,12
13.24,48,40,20,5,12
13.24,48,40,20,5,12
13.25,47,40,20,5,12
13.25,49,40,20,5,12
13.25,45,40,20,5,12
13.26,19,40,20,5,12
13.26,13,40,20,5,12
13.26,17,40,20,5,12
13.27,45,40,20,5,12
13.27,43,40,20,5,12
13.27,41,40,20,5,12
13.28,50,40,20,5,12
13.28,48,40,20,5,12
13.28,50,40,20,5,12
13.29,14,40,20,5,12
13.29,9,40,20,5,12
13.29,7,40,20,5,12
13.03,49,40,20,5,12
13.03,47,40,20,5,12
13.03,49,40,20,5,12
13.3,8,40,20,5,12
13.3,16,40,20,5,12
13.3,11,40,20,5,12
13.31,43,40,20,5,12
13.31,45,40,20,5,12
13.31,48,40,20,5,12
13.32,49,40,20,5,12
13.32,49,40,20,5,12
13.32,50,40,20,5,12
13.04,44,40,20,5,12
13.04,43,40,20,5,12
13.04,49,40,20,5,12
13.05,42,40,20,5,12
13.05,43,40,20,5,12
13.05,45,40,20,5,12
13.06,48,40,20,5,12
13.06,45,40,20,5,12
13.06,47,40,20,5,12
13.07,37,40,20,5,12
13.07,40,40,20,5,12
13.07,44,40,20,5,12
13.08,19,40,20,5,12
13.08,29,40,20,5,12
13.08,23,40,20,5,12
13.09,44,40,20,5,12
13.09,36,40,20,5,12
13.09,40,40,20,5,12
14.01,48,40,20,5,12
14.01,48,40,20,5,12
14.01,48,40,20,5,12
14.02,42,40,20,5,12
14.02,38,40,20,5,12
14.02,36,40,20,5,12
14.03,49,40,20,5,12
14.03,46,40,20,5,12
14.03,50,40,20,5,12
14.04,13,40,20,5,12
14.04,14,40,20,5,12
14.04,16,40,20,5,12
14.05,49,40,20,5,12
14.05,48,40,20,5,12
14.05,41,40,20,5,12
14.06,0,40,20,5,12
14.06,4,40,20,5,12
14.06,6,40,20,5,12
15.1,32,40,20,5,12
15.1,36,40,20,5,12
15.1,35,40,20,5,12
15.01,12,40,20,5,12
15.01,22,40,20,5,12
15.01,18,40,20,5,12
15.11,40,40,20,5,12
15.11,38,40,20,5,12
15.11,43,40,20,5,12
15.12,47,40,20,5,12
15.12,44,40,20,5,12
15.12,46,40,20,5,12
15.13,40,40,20,5,12
15.13,38,40,20,5,12
15.13,33,40,20,5,12
15.14,1,40,20,5,12
15.14,6,40,20,5,12
15.14,0,40,20,5,12
