;TPLName;Familia;Alpine;Seed.mass;Dormancy;Species;Genus;Family
1;Acaena pinnatifida;Rosaceae;Generalist;8.9;PD;;;0.90
2;Achillea atrata;Compositae;Strict;NA;PD;;1.00;1.00
3;Achillea clavennae;Compositae;Strict;0.449;NA;;1.00;1.00
4;Achillea erba-rotta;Compositae;Strict;0.274;NA;;1.00;1.00
5;Achillea nana;Compositae;Strict;NA;NA;;1.00;1.00
6;Aciphylla glacialis;Apiaceae;Strict;5.899;NA;0.05;0.05;0.06
7;Aciphylla simplicifolia;Apiaceae;Generalist;5.006;NA;0.04;0.05;0.06
8;Aconitum brunneum;Ranunculaceae;Strict;NA;MPD;;0.05;0.04
9;Aconitum bucovinense;Ranunculaceae;NA;NA;NA;;0.05;0.04
10;Aconitum firmum;Ranunculaceae;NA;NA;NA;;0.05;0.04
11;Aconitum lasiocarpum;Ranunculaceae;NA;NA;NA;;0.05;0.04
12;Aconitum lycoctonum;Ranunculaceae;NA;NA;MPD;;0.05;0.04
13;Aconitum nasutum;Ranunculaceae;NA;NA;NA;;0.05;0.04
14;Aconitum talassicum;Ranunculaceae;NA;NA;NA;;0.05;0.04
15;Aconitum tanguticum;Ranunculaceae;Strict;NA;MPD;;0.05;0.04
16;Acronema chinense;Apiaceae;Strict;NA;MPD;;;0.06
17;Adenophora himalayana;Campanulaceae;Generalist;NA;NA;;;0.22
18;Adenophora liliifolia;Campanulaceae;NA;NA;NA;;;0.22
19;Adenophora liliifolioides;Campanulaceae;Generalist;NA;PD;;;0.22
20;Adenostyles alliariae;Compositae;NA;NA;NA;;;1.00
21;Adesmia emarginata;Leguminosae;Generalist;NA;NA;;1.00;0.97
22;Adesmia longipes;Leguminosae;Strict;NA;NA;;1.00;0.97
23;Adesmia radicifolia;Leguminosae;Generalist;NA;NA;;1.00;0.97
24;Agropyron velutinum;Poaceae;Generalist;NA;NA;;;0.20
25;Agrostis alpina;Poaceae;Strict;NA;NA;;;0.20
26;Ajania fruticulosa;Compositae;Generalist;NA;NA;;;1.00
27;Ajania salicifolia;Compositae;Generalist;NA;ND;;;1.00
28;Ajania tenuifolia;Compositae;Generalist;NA;PD;;;1.00
29;Alchemilla acutiloba;Rosaceae;NA;NA;NA;;;0.90
30;Alchemilla alpina;Rosaceae;NA;NA;PD;;;0.90
31;Aletris glandulifera;Nartheciaceae;Strict;NA;NA;;;0.08
32;Allium chrysanthum;Amaryllidaceae;Generalist;NA;PD;;0.35;0.30
33;Allium chrysocephalum;Amaryllidaceae;Strict;NA;PD;;0.35;0.30
34;Allium cyaneum;Amaryllidaceae;Generalist;NA;PD;;0.35;0.30
35;Allium cyathophorum;Amaryllidaceae;Generalist;2.2608;NA;;0.35;0.30
36;Allium prattii;Amaryllidaceae;Generalist;NA;NA;;0.35;0.30
37;Allium przewalskianum;Amaryllidaceae;Generalist;NA;PD;;0.35;0.30
38;Allium rude;Amaryllidaceae;Generalist;NA;PD;;0.35;0.30
39;Allium sikkimense;Amaryllidaceae;Generalist;NA;PD;;0.35;0.30
40;Allium victorialis;Amaryllidaceae;Strict;3.9942;MPD;;0.35;0.30
41;Alopecurus vaginatus;Poaceae;NA;NA;NA;;0.10;0.20
42;Alstroemeria pallida;Alstroemeriaceae;Generalist;18.3;NA;;0.14;0.14
43;Alyssoides utriculata;Brassicaceae;NA;NA;NA;;;1.00
44;Amberboa glauca;Compositae;NA;NA;NA;;;1.00
45;Anaphalis flavescens;Compositae;Generalist;0.0444;PD;;;1.00
46;Anaphalis latialata;Compositae;Strict;NA;ND;;;1.00
47;Anaphalis nepalensis;Compositae;Generalist;NA;NA;;;1.00
48;Anarthrophyllum cumingii;Leguminosae;Generalist;NA;NA;;;0.97
49;Anarthrophyllum gayanum;Leguminosae;Strict;3.4;NA;;;0.97
50;Androsace chamaejasme;Primulaceae;Strict;0.5964;NA;;0.21;0.30
51;Androsace gmelinii;Primulaceae;Generalist;NA;NA;;0.21;0.30
52;Androsace obtusifolia;Primulaceae;Strict;0.4268;NA;;0.21;0.30
53;Androsace villosa;Primulaceae;Generalist;1.0782;NA;;0.21;0.30
54;Anemone alpina;Ranunculaceae;Strict;4.4944;MPD;;0.04;0.04
55;Anemone narcissiflora;Ranunculaceae;NA;NA;NA;;0.04;0.04
56;Anemone rivularis;Ranunculaceae;Generalist;8.3141;MPD;;0.04;0.04
57;Anemone vernalis;Ranunculaceae;Strict;1.8966;NA;;0.04;0.04
58;Anisodus tanguticus;Solanaceae;Generalist;NA;PD;;;0.47
59;Antennaria dioica;Compositae;Generalist;0.06;NA;;1.00;1.00
60;Anthoxanthum odoratum;Poaceae;Generalist;0.55;PD;0.05;0.05;0.20
61;Anthriscus sylvestris;Apiaceae;Generalist;3.81;MPD;0.02;0.07;0.06
62;Anthyllis vulneraria;Leguminosae;Generalist;3.48434;PY;0.98;0.98;0.97
63;Aquilegia atrata;Ranunculaceae;NA;NA;MPD;0.02;0.02;0.04
64;Arabis alpina;Brassicaceae;Generalist;0.4;NA;;1.00;1.00
65;Arabis caerulea;Brassicaceae;Strict;NA;NA;;1.00;1.00
66;Arenaria biflora;Caryophyllaceae;Strict;0.0872;NA;;0.61;0.66
67;Arenaria edgeworthiana;Caryophyllaceae;Strict;NA;NA;;0.61;0.66
68;Arenaria erinacea;Caryophyllaceae;Generalist;NA;NA;;0.61;0.66
69;Arenaria grandiflora;Caryophyllaceae;Generalist;0.5456;NA;;0.61;0.66
70;Arenaria kansuensis;Caryophyllaceae;Strict;NA;PD;;0.61;0.66
71;Arenaria norvegica;Caryophyllaceae;NA;NA;NA;;0.61;0.66
72;Arenaria purpurascens;Caryophyllaceae;Strict;NA;NA;;0.61;0.66
73;Aristida triseta;Poaceae;Generalist;NA;PD;;0.34;0.20
74;Armeria alpina;Plumbaginaceae;Strict;1.9264;NA;;;0.95
75;Armeria cantabrica;Plumbaginaceae;Strict;1.7292;NA;;;0.95
76;Arnica montana;Compositae;Generalist;1.28825;NA;;1.00;1.00
77;Artemisia desertorum;Compositae;Strict;NA;PD;;1.00;1.00
78;Artemisia genipi;Compositae;Strict;0.22;NA;;1.00;1.00
79;Artemisia glacialis;Compositae;Strict;NA;NA;;1.00;1.00
80;Artemisia gmelinii;Compositae;Generalist;0.064;ND;;1.00;1.00
81;Artemisia hedinii;Compositae;Generalist;NA;ND;;1.00;1.00
82;Artemisia umbelliformis;Compositae;Strict;0.2899;NA;;1.00;1.00
83;Aruncus dioicus;Rosaceae;NA;NA;PD;0.85;0.85;0.90
84;Asperugo procumbens;Boraginaceae;Generalist;NA;PD;;1.00;0.89
85;Astelia alpina;Asteliaceae;Strict;1.1258;NA;;0.11;0.11
86;Astelia psychrocharis;Asteliaceae;Strict;NA;NA;;0.11;0.11
87;Aster alpinus;Compositae;Generalist;0.9288;NA;;1.00;1.00
88;Aster amellus;Compositae;NA;NA;PD;;1.00;1.00
89;Aster diplostephioides;Compositae;Generalist;NA;ND;;1.00;1.00
90;Aster souliei;Compositae;Generalist;NA;PD;;1.00;1.00
91;Aster yunnanensis;Compositae;Generalist;NA;ND;;1.00;1.00
92;Astragalus australis;Leguminosae;NA;NA;NA;;0.98;0.97
93;Astragalus cyri;Leguminosae;NA;NA;NA;;0.98;0.97
94;Astragalus floridulus;Leguminosae;Generalist;NA;NA;;0.98;0.97
95;Astragalus mahoschanicus;Leguminosae;Generalist;NA;PY;;0.98;0.97
96;Astragalus penduliflorus;Leguminosae;NA;NA;NA;;0.98;0.97
97;Astragalus polycladus;Leguminosae;Generalist;NA;PY;;0.98;0.97
98;Astragalus przewalskii;Leguminosae;Strict;NA;NA;;0.98;0.97
99;Astragalus tongolensis;Leguminosae;Strict;NA;PY;;0.98;0.97
100;Aubrieta thessala;Brassicaceae;NA;NA;NA;;;1.00
101;Avena fatua;Poaceae;Generalist;NA;PD;;0.09;0.20
102;Azorella madreporica;Apiaceae;Generalist;1.3;NA;;0.04;0.06
103;Baeckea gunniana;Myrtaceae;Generalist;0.746;NA;;;1.00
104;Baeckea utilis;Myrtaceae;Generalist;0.062;NA;;;1.00
105;Bartsia alpina;Orobanchaceae;Generalist;0.28;PD;;;0.38
106;Batrachium bungei;Ranunculaceae;Generalist;NA;MPD;;;0.04
107;Berberis montana;Berberidaceae;Generalist;NA;NA;;0.34;0.08
108;Betula nana;Betulaceae;NA;NA;PD;;0.99;0.98
109;Biebersteinia orphanidis;Biebersteiniaceae;NA;NA;NA;;;
110;Biscutella laevigata;Brassicaceae;Generalist;4.167;NA;;;1.00
111;Blysmus sinocompressus;Cyperaceae;Generalist;NA;PD;;;0.11
112;Brachyscome barkerae;Compositae;NA;NA;NA;;;1.00
113;Brachyscome obovata;Compositae;Generalist;NA;NA;;;1.00
114;Brachyscome rigidula;Compositae;Generalist;0.304;NA;;;1.00
115;Brachyscome spathulata;Compositae;Generalist;0.4188;NA;;;1.00
116;Brachyscome stolonifera;Compositae;Strict;NA;NA;;;1.00
117;Braya rosea;Brassicaceae;Generalist;NA;NA;;;1.00
118;Bromus sinensis;Poaceae;Strict;NA;ND;;0.10;0.20
119;Bupleurum commelynoideum;Apiaceae;Generalist;NA;MD;;0.04;0.06
120;Bupleurum marschallianum;Apiaceae;NA;NA;NA;;0.04;0.06
121;Calamagrostis purpurea;Poaceae;NA;NA;NA;;0.09;0.20
122;Calandrinia caespitosa;Portulacaceae;Strict;NA;NA;;0.77;0.79
123;Calceolaria filicaulis;Calceolariaceae;Strict;NA;NA;;;
124;Calceolaria purpurea;Calceolariaceae;Generalist;NA;NA;;;
125;Callistemon pityoides;Myrtaceae;Generalist;0.25;PD;;;1.00
126;Callitriche palustris;Plantaginaceae;Generalist;0.082;NA;;0.67;0.48
127;Campanula alliariifolia;Campanulaceae;NA;NA;NA;;0.19;0.22
128;Campanula alpina;Campanulaceae;Strict;0.2758;NA;;0.19;0.22
129;Campanula aristata;Campanulaceae;Strict;NA;PD;;0.19;0.22
130;Campanula barbata;Campanulaceae;Strict;0.1055;PD;;0.19;0.22
131;Campanula cenisia;Campanulaceae;Strict;NA;NA;;0.19;0.22
132;Campanula cochleariifolia;Campanulaceae;Generalist;NA;PD;;0.19;0.22
133;Campanula collina;Campanulaceae;Strict;0.1254;NA;;0.19;0.22
134;Campanula jacquinii;Campanulaceae;NA;NA;NA;;0.19;0.22
135;Campanula latifolia;Campanulaceae;NA;NA;MPD;;0.19;0.22
136;Campanula macrorhiza;Campanulaceae;Generalist;NA;NA;;0.19;0.22
137;Campanula olympica;Campanulaceae;NA;NA;NA;;0.19;0.22
138;Campanula sarmatica;Campanulaceae;NA;NA;NA;;0.19;0.22
139;Campanula scheuchzeri;Campanulaceae;Strict;0.0572;PD;;0.19;0.22
140;Campanula serrata;Campanulaceae;NA;NA;NA;;0.19;0.22
141;Campanula thyrsoides;Campanulaceae;Generalist;0.0844;PD;;0.19;0.22
142;Caragana erinacea;Leguminosae;Generalist;NA;PY;;1.00;0.97
143;Caragana jubata;Leguminosae;Generalist;NA;PY;;1.00;0.97
144;Cardamine cordata;Brassicaceae;Generalist;NA;NA;;1.00;1.00
145;Cardamine robusta;Brassicaceae;Strict;NA;NA;;1.00;1.00
146;Cardamine tangutorum;Brassicaceae;Generalist;NA;NA;;1.00;1.00
147;Carex aphylla;Cyperaceae;Generalist;NA;NA;;0.06;0.11
148;Carex asturica;Cyperaceae;Generalist;4.4069;NA;;0.06;0.11
149;Carex atrata;Cyperaceae;Strict;0.6236;PD;;0.06;0.11
150;Carex banksii;Cyperaceae;Generalist;NA;NA;;0.06;0.11
151;Carex bicolor;Cyperaceae;Strict;0.558;NA;;0.06;0.11
152;Carex blakei;Cyperaceae;Strict;1.921;NA;;0.06;0.11
153;Carex buxbaumii;Cyperaceae;NA;NA;PD;;0.06;0.11
154;Carex capillacea;Cyperaceae;Generalist;0.528;NA;;0.06;0.11
155;Carex capillaris;Cyperaceae;NA;NA;PD;;0.06;0.11
156;Carex cephalotes;Cyperaceae;Generalist;0.5508;NA;;0.06;0.11
157;Carex curvula;Cyperaceae;Strict;2;NA;;0.06;0.11
158;Carex echinata;Cyperaceae;Generalist;0.83;PD;;0.06;0.11
159;Carex enervis;Cyperaceae;Generalist;NA;PD;;0.06;0.11
160;Carex firma;Cyperaceae;Strict;1.11;PD;;0.06;0.11
161;Carex foetida;Cyperaceae;Strict;0.408;NA;;0.06;0.11
162;Carex gaudichaudiana;Cyperaceae;Generalist;0.951;NA;;0.06;0.11
163;Carex hebes;Cyperaceae;Strict;1.3278;NA;;0.06;0.11
164;Carex hypandra;Cyperaceae;Strict;0.5362;NA;;0.06;0.11
165;Carex kansuensis;Cyperaceae;Strict;NA;PD;;0.06;0.11
166;Carex lachenalii;Cyperaceae;NA;NA;NA;;0.06;0.11
167;Carex microglochin;Cyperaceae;NA;NA;NA;;0.06;0.11
168;Carex przewalskii;Cyperaceae;Generalist;NA;PD;;0.06;0.11
169;Carex pulicaris;Cyperaceae;NA;NA;PD;;0.06;0.11
170;Carex rariflora;Cyperaceae;NA;NA;NA;;0.06;0.11
171;Carex rostrata;Cyperaceae;NA;NA;PD;;0.06;0.11
172;Carex saxatilis;Cyperaceae;NA;NA;NA;;0.06;0.11
173;Carex scabrirostris;Cyperaceae;Strict;NA;NA;;0.06;0.11
174;Carex sempervirens;Cyperaceae;Generalist;1.08;PD;;0.06;0.11
175;Carlina biebersteinii;Compositae;NA;NA;NA;;;1.00
176;Carpha nivicola;Cyperaceae;Generalist;2.22;NA;;;0.11
177;Carum carvi;Apiaceae;Generalist;2.3;MPD;0.08;0.07;0.06
178;Catolobus pendulus;Brassicaceae;Generalist;NA;PD;;;1.00
179;Celmisia costiniana;Compositae;Strict;2.977;NA;;;1.00
180;Celmisia pugioniformis;Compositae;Generalist;2.478;NA;;;1.00
181;Centaurea nervosa;Compositae;Strict;3.4184;NA;;1.00;1.00
182;Centaurea reflexa;Compositae;NA;NA;NA;;1.00;1.00
183;Cerastium alpinum;Caryophyllaceae;NA;NA;NA;;0.74;0.66
184;Cerastium arcticum;Caryophyllaceae;NA;NA;NA;;0.74;0.66
185;Cerastium argenteum;Caryophyllaceae;NA;NA;NA;;0.74;0.66
186;Cerastium arvense;Caryophyllaceae;Generalist;0.188;PD;;0.74;0.66
187;Cerastium cerastoides;Caryophyllaceae;NA;NA;NA;;0.74;0.66
188;Cerastium latifolium;Caryophyllaceae;Strict;0.35;NA;;0.74;0.66
189;Cerastium pedunculatum;Caryophyllaceae;Strict;NA;NA;;0.74;0.66
190;Cerastium uniflorum;Caryophyllaceae;Strict;0.2556;NA;;0.74;0.66
191;Chaerophyllum australianum;Apiaceae;Generalist;1.93;NA;0.02;0.04;0.06
192;Chaerophyllum eriopodum;Apiaceae;Generalist;2.45;NA;0.04;0.04;0.06
193;Chaetanthera euphrasioides;Compositae;Generalist;1.4546;NA;;;1.00
194;Chaetanthera microphylla;Compositae;Generalist;0.688;NA;;;1.00
195;Chamaesium paradoxum;Apiaceae;Strict;NA;MPD;;;0.06
196;Chrysosplenium uniflorum;Saxifragaceae;Generalist;NA;NA;;0.10;0.20
197;Circaeaster agrestis;Circaeasteraceae;Generalist;NA;NA;;;
198;Cirsium arvense;Compositae;Generalist;1.2844;PD;;1.00;1.00
199;Cirsium lanatum;Compositae;Generalist;NA;PD;;1.00;1.00
200;Cirsium souliei;Compositae;Generalist;NA;NA;;1.00;1.00
201;Cirsium spinosissimum;Compositae;Strict;2.8964;NA;;1.00;1.00
202;Clematis tangutica;Ranunculaceae;Generalist;1.9596;MPD;;0.04;0.04
203;Cochlearia tatrae;Brassicaceae;NA;NA;NA;;;1.00
204;Codonopsis foetens;Campanulaceae;Strict;NA;NA;;;0.22
205;Colobanthus affinis;Caryophyllaceae;Strict;0.1256;NA;;;0.66
206;Coluria longifolia;Rosaceae;Generalist;NA;PD;;;0.90
207;Comarum palustre;Rosaceae;NA;NA;PD;;;0.90
208;Comastoma falcatum;Gentianaceae;Generalist;NA;PD;;;0.21
209;Comastoma pedunculatum;Gentianaceae;Strict;NA;PD;;;0.21
210;Comastoma pulmonarium;Gentianaceae;Strict;NA;NA;;;0.21
211;Comastoma tenellum;Gentianaceae;Strict;NA;NA;;;0.21
212;Convolvulus arvensis;Convolvulaceae;Generalist;15.1;PY;;0.87;
213;Cortaderia pilosa;Poaceae;Generalist;0.2604;NA;;;0.20
214;Corydalis melanochlora;Papaveraceae;Strict;NA;NA;;0.06;0.06
215;Craspedia alba;Compositae;Strict;NA;NA;;;1.00
216;Craspedia costiniana;Compositae;Strict;NA;NA;;;1.00
217;Craspedia jamesii;Compositae;Generalist;0.4458;NA;;;1.00
218;Craspedia lamicola;Compositae;Strict;0.9644;NA;;;1.00
219;Craspedia leucantha;Compositae;Strict;0.156;NA;;;1.00
220;Cremanthodium brunneopilosum;Compositae;Strict;NA;PD;;;1.00
221;Cremanthodium discoideum;Compositae;Strict;NA;NA;;;1.00
222;Cremanthodium lineare;Compositae;Generalist;NA;ND;;;1.00
223;Crepis sibirica;Compositae;NA;NA;NA;;1.00;1.00
224;Cyananthus hookeri;Campanulaceae;Generalist;NA;PD;;;0.22
225;Delphinium albocoeruleum;Ranunculaceae;Generalist;NA;NA;;0.07;0.04
226;Delphinium cyphoplectrum;Ranunculaceae;NA;NA;NA;;0.07;0.04
227;Delphinium elatum;Ranunculaceae;NA;NA;MPD;;0.07;0.04
228;Delphinium pylzowii;Ranunculaceae;Strict;NA;MD;;0.07;0.04
229;Delphinium souliei;Ranunculaceae;Strict;NA;NA;;0.07;0.04
230;Deschampsia cespitosa;Poaceae;Generalist;0.303;PD;0.11;0.11;0.20
231;Deyeuxia flavens;Poaceae;Generalist;NA;PD;;;0.20
232;Dianthus barbatus;Caryophyllaceae;NA;NA;NA;;0.41;0.66
233;Dianthus furcatus;Caryophyllaceae;NA;NA;NA;;0.41;0.66
234;Dianthus glacialis;Caryophyllaceae;Strict;0.2891;NA;;0.41;0.66
235;Dianthus orientalis;Caryophyllaceae;NA;NA;NA;;0.41;0.66
236;Dianthus plumarius;Caryophyllaceae;NA;NA;NA;;0.41;0.66
237;Dichosciadium ranunculaceum;Apiaceae;Strict;NA;NA;;;0.06
238;Dicranostigma lactucoides;Papaveraceae;Strict;NA;NA;;;0.06
239;Diplaspis nivis;Apiaceae;Strict;1.0392;NA;;;0.06
240;Doronicum austriacum;Compositae;NA;NA;NA;;;1.00
241;Draba eriopoda;Brassicaceae;Generalist;NA;PD;;1.00;1.00
242;Draba gilliesii;Brassicaceae;Generalist;NA;NA;;1.00;1.00
243;Draba hoppeana;Brassicaceae;Strict;NA;NA;;1.00;1.00
244;Draba ladyginii;Brassicaceae;Generalist;NA;NA;;1.00;1.00
245;Draba lanceolata;Brassicaceae;Generalist;NA;PD;;1.00;1.00
246;Draba nemorosa;Brassicaceae;Generalist;0.04;NA;;1.00;1.00
247;Draba norvegica;Brassicaceae;NA;NA;NA;;1.00;1.00
248;Draba oreades;Brassicaceae;Generalist;NA;NA;;1.00;1.00
249;Draba stylaris;Brassicaceae;Strict;NA;NA;;1.00;1.00
250;Dracocephalum heterophyllum;Lamiaceae;Generalist;NA;PD;;1.00;0.93
251;Dracocephalum tanguticum;Lamiaceae;Strict;NA;PD;;1.00;0.93
252;Drosera arcturi;Droseraceae;Strict;0.0564;NA;;0.19;0.19
253;Dryas octopetala;Rosaceae;Strict;0.5526;PD;0.65;0.65;0.90
254;Duthiea brachypodium;Poaceae;Strict;NA;PD;;;0.20
255;Eleocharis quinqueflora;Cyperaceae;NA;NA;PD;;0.17;0.11
256;Elymus angulatus;Poaceae;NA;NA;NA;;0.14;0.20
